time,temperatrue,rainfall,wind_direction,wind_speed,humidity,pressure,ground_tem,ulsan
2015-02-03 21:00:00,6.9,0,2.6,50,56,5.6,3.6,0
2015-02-03 22:00:00,6.4,0,3.2,50,57,5.5,3.4,0
2015-02-03 23:00:00,6.1,0,3.1,50,59,5.6,3.2,0
2015-02-04 0:00:00,5.4,0,2.7,50,61,5.5,1.9,0
2015-02-04 1:00:00,3.6,0,0.3,0,69,5.5,0.3,0
2015-02-04 2:00:00,3.8,0,1.2,49.48293073,70,5.6,1.3,0
2015-02-04 3:00:00,3.9,0,1,90,69,5.6,2,0
2015-02-04 4:00:00,4,0,2.1,20,71,5.8,2.2,0
2015-02-04 5:00:00,3.8,0,1.5,20,75,6,2.3,0
2015-02-04 6:00:00,3.6,0.2,2.2,20,79,6.2,2.4,0
2015-02-04 7:00:00,3.7,0,1.2,20,82,6.5,2.3,0
2015-02-04 8:00:00,3.4,0,0.9,290,74,5.8,2.3,0
2015-02-04 9:00:00,4,0.1,1.8,70,77,6.2,4.7,7
2015-02-04 10:00:00,3.6,0,1.7,290,73,5.8,5.2,25
2015-02-04 11:00:00,3.5,0,1.1,290,75,5.9,5.5,44
2015-02-04 12:00:00,4.2,0.1,0.3,0,70,5.8,6.5,86
2015-02-04 13:00:00,5.5,0,1.1,110,63,5.7,10.2,86
2015-02-04 14:00:00,8,0,0.8,110,48,5.2,14.6,73
2015-02-04 15:00:00,9.4,0,1.3,70,37,4.4,12.8,73
2015-02-04 16:00:00,9.2,0,2.1,290,33,3.8,7.6,49
2015-02-04 17:00:00,8.3,0,3.1,320,30,3.3,4.8,44
2015-02-04 18:00:00,6.9,0,2.2,320,33,3.3,1.3,7
2015-02-04 19:00:00,6.2,0,3,338.5259874,35,3.3,0,0
2015-02-04 20:00:00,5.7,0,3.7,340,36,3.3,0,0
2015-02-04 21:00:00,4.7,0,2.3,320,40,3.4,0,0
2015-02-04 22:00:00,4.5,0,2.8,340,40,3.4,0,0
2015-02-04 23:00:00,3.1,0,0.9,340,47,3.6,0,0
2015-02-05 0:00:00,2.8,0,1.8,340,49,3.7,0,0
2015-02-05 1:00:00,0.5,0,0.6,180,58,3.7,0,0
2015-02-05 2:00:00,2,0,2.3,340,52,3.7,0,0
2015-02-05 3:00:00,1.7,0,2.3,373.2891939,53,3.7,0,0
2015-02-05 4:00:00,2,0,5.4,320,50,3.5,0,0
2015-02-05 5:00:00,1.5,0,2.4,340,53,3.6,0,0
2015-02-05 6:00:00,1.4,0,1.4,290,53,3.6,0,0
2015-02-05 7:00:00,1.3,0,2,230,54,3.6,0,0
2015-02-05 8:00:00,1.8,0,2.6,340,52,3.6,0,3
2015-02-05 9:00:00,2.8,0,2.9,340,49,3.7,0,58
2015-02-05 10:00:00,3.7,0,3.9,320,47,3.8,3.1,145
2015-02-05 11:00:00,4.7,0,4.2,340,43,3.7,5.9,141
2015-02-05 12:00:00,5.9,0,3.2,290,40,3.7,11.8,234
2015-02-05 13:00:00,6.8,0,2.8,320,37,3.6,13.3,333
2015-02-05 14:00:00,7.4,0,2.8,320,35,3.6,16.8,219
2015-02-05 15:00:00,7.3,0,4,340,34,3.5,11.4,200
2015-02-05 16:00:00,7.2,0,3.5,320,32,3.2,8.2,140
2015-02-05 17:00:00,6.8,0,3.4,340,34,3.3,5.3,86
2015-02-05 18:00:00,5.7,0,4.7,340,35,3.2,2.2,11
2015-02-05 19:00:00,4.6,0,3.1,77.79228036,38,3.2,0,0
2015-02-05 20:00:00,3.6,0,1.5,20,41,3.2,0,0
2015-02-05 21:00:00,3.9,0,2.9,340,40,3.2,0,0
2015-02-05 22:00:00,2.5,0,1.3,50,45,3.3,0,0
2015-02-05 23:00:00,1.4,0,0.8,180,49,3.3,0,0
2015-02-06 0:00:00,0.2,0,0.9,160,53,3.3,0,0
2015-02-06 1:00:00,1.8,0,3,320,49,3.4,0,0
2015-02-06 2:00:00,1.4,0,3,270,51,3.5,0,0
2015-02-06 3:00:00,-0.3,0,1.1,180,58,3.5,0,0
2015-02-06 4:00:00,0.3,0,1.5,290,55,3.4,0,0
2015-02-06 5:00:00,-0.4,0,1.4,230,58,3.5,0,0
2015-02-06 6:00:00,-1,0,1.3,200,59,3.3,0,0
2015-02-06 7:00:00,-1.2,0,0.7,160,58,3.2,0,0
2015-02-06 8:00:00,-0.7,0,1.5,180,56,3.2,0,5
2015-02-06 9:00:00,1.6,0,1.5,180,49,3.4,0,70
2015-02-06 10:00:00,3.2,0,1.5,250,45,3.5,3.4,187
2015-02-06 11:00:00,4.7,0,1.7,250,39,3.3,7.3,273
2015-02-06 12:00:00,6.6,0,2.9,250,33,3.2,14.8,321
2015-02-06 13:00:00,8.4,0,2.7,290,32,3.5,19,335
2015-02-06 14:00:00,8.7,0,3,320,31,3.5,19.2,334
2015-02-06 15:00:00,8.9,0,3,320,28,3.2,10.9,288
2015-02-06 16:00:00,9.4,0,3.3,250,27,3.2,8.5,212
2015-02-06 17:00:00,9,0,2.6,270,28,3.2,5.7,91
2015-02-06 18:00:00,7,0,2.1,200,34,3.4,2.3,7
2015-02-06 19:00:00,5.5,0,2.3,200,36,3.2,0.9,0
2015-02-06 20:00:00,3.3,0,0.8,160,45,3.5,0,0
2015-02-06 21:00:00,3.3,0,1.8,200,45,3.5,0,0
2015-02-06 22:00:00,2.2,0,1.7,230,49,3.5,0,0
2015-02-06 23:00:00,0.8,0,1.1,180,54,3.5,0,0
2015-02-07 0:00:00,0.4,0,0.9,180,58,3.6,0,0
2015-02-07 1:00:00,-0.7,0,1.1,230,67,3.9,0,0
2015-02-07 2:00:00,0.4,0,2.6,230,62,3.9,0,0
2015-02-07 3:00:00,0.8,0,2.3,180,58,3.8,0,0
2015-02-07 4:00:00,0.9,0,2.5,200,57,3.7,0,0
2015-02-07 5:00:00,-0.6,0,1.6,230,69,4.1,0,0
2015-02-07 6:00:00,0,0,2,200,64,3.9,0,0
2015-02-07 7:00:00,0.2,0,3,200,59,3.7,0,0
2015-02-07 8:00:00,-0.2,0,2.4,200,64,3.8,0,1
2015-02-07 9:00:00,1.2,0,1.4,200,60,4,0,42
2015-02-07 10:00:00,3.3,0,2.1,200,47,3.6,3.7,90
2015-02-07 11:00:00,5.5,0,2.3,320,42,3.8,9.9,201
2015-02-07 12:00:00,7.3,0,3.3,270,38,3.9,17.2,316
2015-02-07 13:00:00,8.4,0,2.7,250,37,4.1,20.4,328
2015-02-07 14:00:00,9.6,0,3.3,250,33,3.9,20.4,317
2015-02-07 15:00:00,9.6,0,3.4,270,34,4.1,12.7,280
2015-02-07 16:00:00,9.7,0,3.6,250,33,4,9.7,191
2015-02-07 17:00:00,8.9,0,2.8,270,36,4.1,7.8,62
2015-02-07 18:00:00,7.2,0,2.7,200,48,4.9,5,5
2015-02-07 19:00:00,6.1,0,1.1,200,51,4.8,2.9,0
2015-02-07 20:00:00,6.6,0,3.7,320,44,4.3,3,0
2015-02-07 21:00:00,5.7,0,2.4,340,46,4.2,2.4,0
2015-02-07 22:00:00,5.4,0,2.1,270,47,4.2,2.2,0
2015-02-07 23:00:00,5,0,1.2,270,47,4.1,2,0
2015-02-08 0:00:00,4.8,0,2.2,290,48,4.1,1.9,0
2015-02-08 1:00:00,4.6,0,1.6,290,48,4.1,1.9,0
2015-02-08 2:00:00,4.4,0,1,230,48,4,1.6,0
2015-02-08 3:00:00,4.6,0,3.3,270,48,4.1,1.7,0
2015-02-08 4:00:00,4.7,0,2.5,290,49,4.2,1.6,0
2015-02-08 5:00:00,4.6,0,4.3,270,49,4.2,1.5,0
2015-02-08 6:00:00,3.8,0,4.1,270,46,3.7,0.9,0
2015-02-08 7:00:00,2.5,0,5.8,320,43,3.1,0,0
2015-02-08 8:00:00,1.1,0,4.2,320,43,2.8,0,1
2015-02-08 9:00:00,0.7,0,5.9,290,29,1.9,0,75
2015-02-08 10:00:00,0.2,0,6.3,320,21,1.3,5.8,205
2015-02-08 11:00:00,-0.2,0,5.6,340,22,1.3,8.2,299
2015-02-08 12:00:00,-0.4,0,6.9,320,21,1.2,13,357
2015-02-08 13:00:00,-0.2,0,7.1,320,20,1.2,13.9,377
2015-02-08 14:00:00,-0.3,0,7.6,320,21,1.3,13,366
2015-02-08 15:00:00,0.4,0,5,290,21,1.3,5.7,325
2015-02-08 16:00:00,0.5,0,4.3,308.7522188,19,1.2,3.5,249
2015-02-08 17:00:00,-0.1,0,5.6,340,18,1.1,0,123
2015-02-08 18:00:00,-1.2,0,3.8,340,20,1.1,0,8
2015-02-08 19:00:00,-1.9,0,1.8,340,20,1.1,0,0
2015-02-08 20:00:00,-2.5,0,2.7,290,22,1.1,0,0
2015-02-08 21:00:00,-3.3,0,2.8,320,26,1.2,0,0
2015-02-08 22:00:00,-3.8,0,2.5,320,24,1.1,0,0
2015-02-08 23:00:00,-4.6,0,2,320,29,1.3,0,0
2015-02-09 0:00:00,-5.2,0,2.9,320,32,1.3,0,0
2015-02-09 1:00:00,-5.6,0,2.5,290,33,1.3,0,0
2015-02-09 2:00:00,-6.1,0,3.9,290,33,1.3,0,0
2015-02-09 3:00:00,-6.4,0,1.8,270,33,1.3,0,0
2015-02-09 4:00:00,-6.8,0,1.7,320,33,1.2,0,0
2015-02-09 5:00:00,-7,0,2.6,320,36,1.3,0,0
2015-02-09 6:00:00,-7.1,0,3.1,290,36,1.3,0,0
2015-02-09 7:00:00,-7.3,0,2.2,320,37,1.3,0,0
2015-02-09 8:00:00,-7.4,0,2.6,290,38,1.3,0,9
2015-02-09 9:00:00,-5.7,0,2.3,320,31,1.2,0,84
2015-02-09 10:00:00,-4.2,0,3,340,26,1.2,2.4,210
2015-02-09 11:00:00,-2.1,0,2.7,20,20,1,5.6,305
2015-02-09 12:00:00,-0.3,0,4.5,20,20,1.2,12.2,357
2015-02-09 13:00:00,0.3,0,2.7,290,21,1.3,15.1,379
2015-02-09 14:00:00,0.9,0,5,290,19,1.2,13.3,364
2015-02-09 15:00:00,2.3,0,3.8,320,19,1.4,7.2,322
2015-02-09 16:00:00,2.4,0,3.6,270,19,1.4,3.7,251
2015-02-09 17:00:00,2.6,0,3.2,290,19,1.4,0.3,124
2015-02-09 18:00:00,1.4,0,1.2,270,20,1.4,0,8
2015-02-09 19:00:00,1.1,0,4.5,270,29,1.9,0,0
2015-02-09 20:00:00,0.5,0,4.7,270,37,2.3,0,0
2015-02-09 21:00:00,0,0,3.8,270,42,2.6,0,0
2015-02-09 22:00:00,-0.5,0,2.6,270,45,2.6,0,0
2015-02-09 23:00:00,-0.6,0,3.3,270,49,2.9,0,0
2015-02-10 0:00:00,-0.9,0,2.6,230,49,2.8,0,0
2015-02-10 1:00:00,-1.6,0,1.5,250,52,2.8,0,0
2015-02-10 2:00:00,-1.9,0,1.6,270,55,2.9,0,0
2015-02-10 3:00:00,-2.8,0,1.4,270,60,3,0,0
2015-02-10 4:00:00,-3.3,0,0.9,200,61,2.9,0,0
2015-02-10 5:00:00,-2.3,0,1.6,180,57,3,0,0
2015-02-10 6:00:00,-1.7,0,1.6,200,57,3.1,0,0
2015-02-10 7:00:00,-2.4,0,1.2,180,61,3.1,0,0
2015-02-10 8:00:00,-2.9,0,1.4,230,65,3.2,0,7
2015-02-10 9:00:00,-0.7,0,1.6,200,61,3.5,0,70
2015-02-10 10:00:00,2.2,0,2.2,250,53,3.8,4.3,172
2015-02-10 11:00:00,4.2,0,3.4,230,44,3.6,7.9,254
2015-02-10 12:00:00,6.1,0,3.8,270,39,3.7,12.9,306
2015-02-10 13:00:00,7.5,0,2.5,290,35,3.6,17,329
2015-02-10 14:00:00,9,0,3.7,290,33,3.8,18.5,310
2015-02-10 15:00:00,9.1,0,5,270,31,3.6,13.9,258
2015-02-10 16:00:00,9.5,0,3.1,270,31,3.7,9.9,181
2015-02-10 17:00:00,8.3,0,3.6,250,40,4.4,6.4,83
2015-02-10 18:00:00,7,0,2.3,230,43,4.3,2.7,10
2015-02-10 19:00:00,6.5,0,3.2,200,44,4.2,1.6,0
2015-02-10 20:00:00,4.9,0,1.8,230,49,4.2,0.1,0
2015-02-10 21:00:00,3.8,0,1.4,250,50,4,0,0
2015-02-10 22:00:00,4.2,0,1.8,230,43,3.6,0,0
2015-02-10 23:00:00,1.8,0,1,200,53,3.7,0,0
2015-02-11 0:00:00,0.3,0,0.9,200,66,4.1,0,0
2015-02-11 1:00:00,3.4,0,2.6,230,49,3.8,0,0
2015-02-11 2:00:00,0.9,0,0.9,200,59,3.8,0,0
2015-02-11 3:00:00,1.1,0,1.2,180,59,3.9,0,0
2015-02-11 4:00:00,0.6,0,1.7,230,63,4,0,0
2015-02-11 5:00:00,-0.7,0,1.4,230,71,4.1,0,0
2015-02-11 6:00:00,-0.9,0,1.5,230,71,4.1,0,0
2015-02-11 7:00:00,-0.7,0,1.8,200,71,4.1,0,0
2015-02-11 8:00:00,-0.5,0,2.4,200,71,4.2,0,6
2015-02-11 9:00:00,0.9,0,0.9,200,68,4.4,0,41
2015-02-11 10:00:00,4.6,0,0.5,270,57,4.8,5.5,140
2015-02-11 11:00:00,7.5,0,3.3,230,44,4.6,9.6,219
2015-02-11 12:00:00,9.5,0,2.7,290,37,4.4,17.8,313
2015-02-11 13:00:00,9.9,0,3.7,230,39,4.8,19.8,329
2015-02-11 14:00:00,10.9,0,3.2,270,36,4.7,19.3,311
2015-02-11 15:00:00,11.1,0,1.7,290,37,4.9,15.7,231
2015-02-11 16:00:00,10,0,4.3,230,42,5.2,11.6,156
2015-02-11 17:00:00,9.6,0,4.4,230,44,5.3,9.1,88
2015-02-11 18:00:00,8.4,0,4.5,230,47,5.2,5.3,14
2015-02-11 19:00:00,7.4,0,2.3,200,50,5.2,3.6,0
2015-02-11 20:00:00,6,0,0.8,110,55,5.2,1.1,0
2015-02-11 21:00:00,6.1,0,1.4,180,57,5.4,1,0
2015-02-11 22:00:00,4.3,0,1.9,230,63,5.2,0,0
2015-02-11 23:00:00,2.9,0,0.7,230,69,5.2,0,0
2015-02-12 0:00:00,2.3,0,0.9,230,71,5.1,0,0
2015-02-12 1:00:00,1.6,0,0.8,200,75,5.2,0,0
2015-02-12 2:00:00,1.1,0,0.6,172.2775549,77,5.1,0,0
2015-02-12 3:00:00,2,0,2.8,200,72,5.1,0,0
2015-02-12 4:00:00,1.2,0,1,270,75,5,0,0
2015-02-12 5:00:00,0.8,0,1.4,230,78,5,0,0
2015-02-12 6:00:00,0.6,0,1.5,250,77,4.9,0,0
2015-02-12 7:00:00,1,0,2.6,230,77,5.1,0,0
2015-02-12 8:00:00,1.3,0,0.7,200,77,5.2,0,4
2015-02-12 9:00:00,4.5,0,3.3,320,59,5,0,59
2015-02-12 10:00:00,5,0,5.2,320,42,3.7,5.5,154
2015-02-12 11:00:00,5.8,0,4,340,33,3,11.6,260
2015-02-12 12:00:00,6.6,0,4.4,290,26,2.5,18.4,335
2015-02-12 13:00:00,7,0,5.2,299.0917316,22,2.2,20.9,366
2015-02-12 14:00:00,7.6,0,4.1,340,22,2.3,21.4,354
2015-02-12 15:00:00,8.1,0,4.9,340,23,2.5,16.9,317
2015-02-12 16:00:00,7.8,0,3.8,320,22,2.3,11.3,246
2015-02-12 17:00:00,7,0,3.1,340,24,2.4,5.8,125
2015-02-12 18:00:00,5.4,0,1.9,320,28,2.5,1.8,11
2015-02-12 19:00:00,4.8,0,2.6,270,31,2.7,0.1,0
2015-02-12 20:00:00,3.9,0,2.2,290,33,2.7,0,0
2015-02-12 21:00:00,2.7,0,2.1,290,37,2.8,0,0
2015-02-12 22:00:00,2.1,0,2.5,320,36,2.6,0,0
2015-02-12 23:00:00,1.2,0,1.8,290,36,2.4,0,0
2015-02-13 0:00:00,-1,0,0.8,160,43,2.4,0,0
2015-02-13 1:00:00,0.2,0,2.4,270,37,2.3,0,0
2015-02-13 2:00:00,-0.6,0,2.8,290,37,2.2,0,0
2015-02-13 3:00:00,-1.1,0,2.6,290,36,2,0,0
2015-02-13 4:00:00,-1.4,0,2.6,290,32,1.8,0,0
2015-02-13 5:00:00,-1.9,0,2,290,32,1.7,0,0
2015-02-13 6:00:00,-2.6,0,2.1,270,33,1.7,0,0
2015-02-13 7:00:00,-3,0,1.5,200,34,1.7,0,0
2015-02-13 8:00:00,-3.3,0,2.7,230,36,1.7,0,1
2015-02-13 9:00:00,-1.4,0,2.1,230,30,1.7,0,82
2015-02-13 10:00:00,0.2,0,3.9,290,29,1.8,4.3,207
2015-02-13 11:00:00,1.3,0,4.1,290,26,1.7,8.5,295
2015-02-13 12:00:00,3.8,0,2.9,290,27,2.2,16.4,346
2015-02-13 13:00:00,5.1,0,2.1,290,23,2,20.5,365
2015-02-13 14:00:00,5.8,0,3.4,340,22,2,20.7,354
2015-02-13 15:00:00,7,0,3.2,320,22,2.2,17.7,320
2015-02-13 16:00:00,7,0,4,320,22,2.2,11.2,249
2015-02-13 17:00:00,6.7,0,2.2,340,22,2.2,5.1,127
2015-02-13 18:00:00,5.5,0,1.9,320,24,2.2,1.1,11
2015-02-13 19:00:00,3.1,0,1.5,160,28,2.1,0,0
2015-02-13 20:00:00,1.6,0,1.1,180,32,2.2,0,0
2015-02-13 21:00:00,0,0,0.7,180,36,2.2,0,0
2015-02-13 22:00:00,0,0,1.6,200,39,2.4,0,0
2015-02-13 23:00:00,-0.4,0,1.3,230,45,2.7,0,0
2015-02-14 0:00:00,-0.5,0,1.5,200,40,2.4,0,0
2015-02-14 1:00:00,-1.3,0,1.5,250,46,2.6,0,0
2015-02-14 2:00:00,-1.6,0,2.2,250,51,2.8,0,0
2015-02-14 3:00:00,-1.7,0,1.2,230,55,3,0,0
2015-02-14 4:00:00,-1.3,0,1.6,180,49,2.7,0,0
2015-02-14 5:00:00,-1.9,0,1.8,230,51,2.7,0,0
2015-02-14 6:00:00,-2.6,0,1.2,200,55,2.8,0,0
2015-02-14 7:00:00,-2.1,0,0.9,200,50,2.6,0,0
2015-02-14 8:00:00,-0.4,0,1.6,200,46,2.7,0,8
2015-02-14 9:00:00,1.5,0,3.2,230,41,2.8,0,76
2015-02-14 10:00:00,3.6,0,2.4,200,36,2.8,6.3,189
2015-02-14 11:00:00,5.6,0,2.8,270,30,2.7,11.6,273
2015-02-14 12:00:00,8,0,1.4,230,27,2.9,19.8,328
2015-02-14 13:00:00,8.8,0,2,270,28,3.2,23.2,347
2015-02-14 14:00:00,10.4,0,2.4,270,28,3.5,23.4,337
2015-02-14 15:00:00,10.6,0,4.1,250,30,3.8,20.1,301
2015-02-14 16:00:00,10.5,0,4.2,200,29,3.7,13.6,230
2015-02-14 17:00:00,9.3,0,4.9,230,33,3.9,8.1,119
2015-02-14 18:00:00,8.4,0,3.3,230,34,3.8,4.7,12
2015-02-14 19:00:00,7.6,0,2.5,200,39,4.1,2.6,0
2015-02-14 20:00:00,5.6,0,1.4,230,47,4.3,0.1,0
2015-02-14 21:00:00,3.2,0,1.1,250,59,4.5,0,0
2015-02-14 22:00:00,2.1,0,1,230,63,4.5,0,0
2015-02-14 23:00:00,1.4,0,0.7,230,61,4.1,0,0
2015-02-15 0:00:00,0.2,0,1,250,71,4.4,0,0
2015-02-15 1:00:00,-0.5,0,0.6,230,73,4.3,0,0
2015-02-15 2:00:00,-1,0,0.8,230,77,4.4,0,0
2015-02-15 3:00:00,-1.4,0,0.2,0,79,4.4,0,0
2015-02-15 4:00:00,-1.6,0,0.2,0,81,4.4,0,0
2015-02-15 5:00:00,-1.6,0,0.3,0,81,4.4,0,0
2015-02-15 6:00:00,-1.6,0,0.7,230,82,4.5,0,0
2015-02-15 7:00:00,-1.7,0,0.5,200,83,4.5,0,0
2015-02-15 8:00:00,0.3,0,2.7,230,79,4.9,0,10
2015-02-15 9:00:00,2.2,0,1.1,250,74,5.3,1.6,63
2015-02-15 10:00:00,4.3,0,2.3,230,67,5.6,5.2,117
2015-02-15 11:00:00,7.5,0,0.4,0,53,5.5,10.8,176
2015-02-15 12:00:00,8.6,0,0.4,0,49,5.5,10.8,253
2015-02-15 13:00:00,8.1,0,1,230,51,5.5,8.8,171
2015-02-15 14:00:00,8.5,0,0.2,0,50,5.6,8.1,80
2015-02-15 15:00:00,8.9,0,0.8,290,49,5.6,7.9,50
2015-02-15 16:00:00,10.6,0,4.5,110,44,5.6,8.1,26
2015-02-15 17:00:00,10.2,0,5.8,110,53,6.6,7.7,8
2015-02-15 18:00:00,10.1,0,5.8,90,55,6.8,7.4,1
2015-02-15 19:00:00,10,0,5.3,90,58,7.1,7.1,0
2015-02-15 20:00:00,9.3,0,5.1,90,66,7.7,6.3,0
2015-02-15 21:00:00,9.3,0,5.3,90,64,7.5,6.5,0
2015-02-15 22:00:00,9,0,4.8,90,67,7.6,6,0
2015-02-15 23:00:00,8,0,5.2,90,74,7.9,5.8,0
2015-02-16 0:00:00,7.7,2.5,4.3,90,76,8,5.5,0
2015-02-16 1:00:00,7.6,0,4.8,70,76,7.9,5.5,0
2015-02-16 2:00:00,7.2,0,5.3,70,78,7.9,5.4,0
2015-02-16 3:00:00,6.7,4,4.2,70,77,7.5,5.1,0
2015-02-16 4:00:00,6.1,0,5.3,70,79,7.4,4.7,0
2015-02-16 5:00:00,5.8,0,2.9,70,82,7.5,4.6,0
2015-02-16 6:00:00,5.8,7,3.3,70,81,7.4,4.6,0
2015-02-16 7:00:00,5.8,0,3.7,20,80,7.4,4.5,0
2015-02-16 8:00:00,5.5,0,4,20,81,7.3,4.5,0
2015-02-16 9:00:00,6.2,1,3,50,78,7.4,4.8,1
2015-02-16 10:00:00,6.2,0,3.9,20,78,7.4,5.1,8
2015-02-16 11:00:00,6.5,0,2.8,50,76,7.3,5.5,16
2015-02-16 12:00:00,6.5,0.5,3.1,50,76,7.3,5.5,9
2015-02-16 13:00:00,6.5,0,4.1,20,77,7.4,6,16
2015-02-16 14:00:00,6.4,0,3.8,50,76,7.3,5.8,19
2015-02-16 15:00:00,6.6,0,3.8,50,74,7.2,5.6,10
2015-02-16 16:00:00,6.6,0,3.9,50,73,7.1,5.4,4
2015-02-16 17:00:00,6.6,0,5.2,50,73,7.1,5.3,0
2015-02-16 18:00:00,6.2,0,2.9,50,77,7.3,4.9,0
2015-02-16 19:00:00,6.1,0,2.9,70,78,7.3,4.8,0
2015-02-16 20:00:00,6.1,0,3.2,50,79,7.4,4.7,0
2015-02-16 21:00:00,6,0,2.8,70,79,7.4,4.7,0
2015-02-16 22:00:00,5.9,0,1.8,50,81,7.5,4.7,0
2015-02-16 23:00:00,5.8,0,1.2,50,82,7.5,4.7,0
2015-02-17 0:00:00,5.9,0,0.9,70,82,7.6,4.7,0
2015-02-17 1:00:00,5.8,0,1,320,83,7.6,4.7,0
2015-02-17 2:00:00,5.8,0,0.6,230,83,7.6,4.7,0
2015-02-17 3:00:00,5.8,0,1.2,250,82,7.5,4.6,0
2015-02-17 4:00:00,5.8,0,1.6,230,82,7.5,4.5,0
