time,Bo0,light,temperature,rainfall,wind_speed,wind_direction,humidity,pressure,ground_tem,floating,dangjin,warehouse
2015-01-02 19:00,0,0,-2.8,0,1.8,320,57,2.8,0.1,NA,0,0
2015-01-02 20:00,0,0,-3.4,0,1.5,20,54,2.6,0,NA,0,0
2015-01-02 21:00,0,0,-5.1,0,0,0,64,2.7,0,NA,0,0
2015-01-02 22:00,0,0,-4.4,0,0.9,340,68,3,-0.1,NA,0,0
2015-01-02 23:00,0,0,-4.5,0,1.5,340,72,3.2,-0.2,NA,0,0
2015-01-03 0:00,0,0,-6.5,0,1,110,80,3,-0.3,NA,0,0
2015-01-03 1:00,0,0,-7.7,0,0.7,90,81,2.8,-0.4,NA,0,0
2015-01-03 2:00,0,0,-8.2,0,0.4,0,85,2.8,-0.5,NA,0,0
2015-01-03 3:00,0,0,-9,0,0.1,0,87,2.7,-0.6,NA,0,0
2015-01-03 4:00,0,0,-8.7,0,0.2,0,90,2.9,-0.7,NA,0,0
2015-01-03 5:00,0,0,-9.5,0,0.1,0,90,2.7,-0.9,NA,0,0
2015-01-03 6:00,0,0,-9.6,0,0.1,0,90,2.7,-1,NA,0,0
2015-01-03 7:00,0,0,-8.6,0,0.1,0,90,2.9,-0.7,NA,0,0
2015-01-03 8:00,0,672,-7.6,0,0.3,0,86,3,-0.6,NA,0,0
2015-01-03 9:00,172.7800556,3600,-5.6,0,0.2,0,84,3.4,-0.2,NA,12,17
2015-01-03 10:00,391.3493278,3600,-3.8,0,0.4,0,76,3.5,0.1,NA,99,82
2015-01-03 11:00,560.7448188,3600,-0.9,0,1.1,270,71,4.1,0.4,NA,305,251
2015-01-03 12:00,669.4298292,3600,0.9,0,1.3,200,67,4.4,0.8,NA,460,394
2015-01-03 13:00,710.0023355,3600,1.6,0,2.3,180,65,4.5,1,NA,497,429
2015-01-03 14:00,679.69911,3600,1.7,0,2.4,230,66,4.6,0.9,NA,320,285
2015-01-03 15:00,580.5839167,3600,3,0,2.5,200,65,4.9,0.9,NA,244,202
2015-01-03 16:00,419.4069645,3600,2.1,0,3,180,67,4.8,0.4,NA,220,178
2015-01-03 17:00,207.1451896,3600,1.4,0,2.5,180,74,5,0.1,NA,32,42
2015-01-03 18:00,0,1819,1.2,0,2.3,180,77,5.2,0.2,NA,0,1
2015-01-03 19:00,0,0,0.5,0,0.7,180,85,5.4,0.2,NA,0,0
2015-01-03 20:00,0,0,0.8,0,0.9,180,79,5.1,0.2,NA,0,0
2015-01-03 21:00,0,0,1.3,0,1.9,160,78,5.2,0.3,NA,0,0
2015-01-03 22:00,0,0,1.4,0,2.7,180,77,5.2,0.2,NA,0,0
2015-01-03 23:00,0,0,1,0,1.8,200,79,5.2,0.2,NA,0,0
2015-01-04 0:00,0,0,1,0,1.5,200,83,5.5,0.3,NA,0,0
2015-01-04 1:00,0,0,0.2,0,0.6,NA,87,5.4,0.2,NA,0,0
2015-01-04 2:00,0,0,-1.5,0,0.6,270,92,5,0.1,NA,0,0
2015-01-04 3:00,0,0,-1.8,0,0.3,0,93,5,0.1,NA,0,0
2015-01-04 4:00,0,0,-1.9,0,0.3,0,93,5,0.1,NA,0,0
2015-01-04 5:00,0,0,-0.8,0,0.3,0,93,5.4,0.2,NA,0,0
2015-01-04 6:00,0,0,-0.7,0,0.7,140,93,5.4,0.1,NA,0,0
2015-01-04 7:00,0,0,-1.2,0,0.1,0,93,5.2,0.2,NA,0,0
2015-01-04 8:00,0,666,-2,0,0.1,0,93,4.9,0.1,NA,0,0
2015-01-04 9:00,172.7142503,3600,0.2,0,0.1,0,93,5.8,0.3,NA,5,11
2015-01-04 10:00,391.7681856,3600,3.3,0,0.5,180,91,7,0.4,NA,81,63
2015-01-04 11:00,561.7138739,3600,5.7,0,1.7,250,80,7.3,1.2,NA,293,237
2015-01-04 12:00,670.9770389,3600,7.2,0,2.4,200,77,7.8,3.5,NA,296,268
2015-01-04 13:00,712.1162124,3600,8.4,0,2.2,230,76,8.4,4.4,NA,280,209
2015-01-04 14:00,682.3295457,3600,8.4,0,2.8,200,70,7.7,4.9,NA,421,360
2015-01-04 15:00,583.6456381,3600,8.6,0,2.6,230,73,8.1,4.3,NA,354,285
2015-01-04 16:00,422.7853835,3600,7.9,0,2.9,230,75,8,3.5,NA,193,157
2015-01-04 17:00,210.7042465,3600,6.2,0,1.5,200,84,7.9,2.1,NA,41,52
2015-01-04 18:00,0,1770,3.4,0,0.8,180,91,7.1,0.6,NA,0,1
2015-01-04 19:00,0,0,2.5,0,0.3,0,93,6.8,0.3,NA,0,0
2015-01-04 20:00,0,0,0.8,0,0.2,0,93,6,0.3,NA,0,0
2015-01-04 21:00,0,0,0.8,0,0.6,90,93,6,0.2,NA,0,0
2015-01-04 22:00,0,0,-1.3,0,0.5,50,93,5.2,0.2,NA,0,0
2015-01-04 23:00,0,0,-2.9,0,0.4,0,93,4.6,0.2,NA,0,0
2015-01-05 0:00,0,0,-3,0,0.2,0,93,4.6,0.2,NA,0,0
2015-01-05 1:00,0,0,-3,0,0.2,0,93,4.6,0.3,NA,0,0
2015-01-05 2:00,0,0,-1.2,0,0.6,70,93,5.2,0.3,NA,0,0
2015-01-05 3:00,0,0,-0.9,0,0.9,50,93,5.4,0.2,NA,0,0
2015-01-05 4:00,0,0,-0.7,0,0,0,93,5.4,0.3,NA,0,0
2015-01-05 5:00,0,0,-1.5,0,0.5,180,93,5.1,0.3,NA,0,0
2015-01-05 6:00,0,0,-1.8,0,0.4,0,93,5,0.3,NA,0,0
2015-01-05 7:00,0,0,-1.6,0,0.6,360,93,5.1,0.3,NA,0,0
2015-01-05 8:00,0,663,-1.7,0,0,0,93,5,0.3,NA,0,0
2015-01-05 9:00,172.7985444,3600,-0.2,0,0.3,0,93,5.6,0.3,NA,20,14
2015-01-05 10:00,392.3411017,3600,2.4,0,0.9,70,93,6.7,0.4,NA,145,105
2015-01-05 11:00,562.8377556,3600,4.8,0,0.5,50,93,8,2.3,NA,264,219
2015-01-05 12:00,672.6765921,3600,6.8,0,1.6,20,74,7.3,4.2,NA,258,229
2015-01-05 13:00,714.3768621,3600,9.2,0,1,270,62,7.2,6.1,NA,229,203
2015-01-05 14:00,685.0984726,3600,9.6,0,0.7,200,56,6.7,5.7,NA,257,230
2015-01-05 15:00,586.8354228,3600,10.2,0,2.1,200,48,6,6,NA,188,161
2015-01-05 16:00,426.2800063,3600,8.3,0,1.5,200,62,6.8,4.9,NA,133,116
2015-01-05 17:00,214.3670303,3600,7.2,0,0.2,0,61,6.2,4.2,NA,8,13
2015-01-05 18:00,0,1720,7,0.05,1.1,70,64,6.4,3.8,NA,0,0
2015-01-05 19:00,0,0,6.7,0,1.6,70,67,6.5,3.6,NA,0,0
2015-01-05 20:00,0,0,7.2,0,1,20,59,6,3.5,NA,0,0
2015-01-05 21:00,0,0,6.8,0.05,2.9,20,67,6.6,3.5,NA,0,0
2015-01-05 22:00,0,0,4.8,0,1.5,360,87,7.5,3.4,NA,0,0
2015-01-05 23:00,0,0,4.6,0,1.7,20,92,7.8,3.3,NA,0,0
2015-01-06 0:00,0,0,4.1,2.4,2.9,360,93,7.6,3.3,NA,0,0
2015-01-06 1:00,0,0,3.8,0,1.2,20,93,7.4,3.2,NA,0,0
2015-01-06 2:00,0,0,3.6,0,1,20,93,7.3,3.2,NA,0,0
2015-01-06 3:00,0,0,3.6,2.8,4.9,320,93,7.3,3.1,NA,0,0
2015-01-06 4:00,0,0,3,0,3.6,340,93,7,3,NA,0,0
2015-01-06 5:00,0,0,2.6,0,3.5,320,92,6.8,3,NA,0,0
2015-01-06 6:00,0,0,1.3,0.2,6.3,320,88,5.9,2.7,NA,0,0
2015-01-06 7:00,0,0,0.1,0,5.4,320,82,5,2.3,NA,0,0
2015-01-06 8:00,0,661,-1.1,0,6.2,320,78,4.4,1.7,NA,0,0
2015-01-06 9:00,173.0336623,3600,-1.4,0,5.2,320,68,3.8,1.5,NA,60,34
2015-01-06 10:00,393.0682725,3600,-1.3,0,6.2,320,57,3.2,1.7,NA,253,163
2015-01-06 11:00,564.1160829,3600,-1.1,0,5.1,340,57,3.2,3.1,NA,404,333
2015-01-06 12:00,674.5275208,3600,-0.7,0,5.7,320,52,3,4.1,NA,523,447
2015-01-06 13:00,716.7827591,3600,-1,0,5.3,320,49,2.8,4.3,NA,590,381
2015-01-06 14:00,688.003876,3600,-0.3,0,5.5,320,47,2.8,4.2,NA,609,459
2015-01-06 15:00,590.1508682,3600,-0.6,0,4.9,340,43,2.5,3.6,NA,564,439
2015-01-06 16:00,429.8881693,3600,-1.3,0,5,340,46,2.6,2.4,NA,365,297
2015-01-06 17:00,218.1307619,3600,-2.3,0,4.1,340,50,2.6,1.1,NA,64,122
2015-01-06 18:00,0,1670,-2.8,0,4.3,340,57,2.8,0.5,NA,1,3
2015-01-06 19:00,0,0,-3,0,3.3,340,58,2.8,0.4,NA,0,0
2015-01-06 20:00,0,0,-3.2,0,4.1,340,60,2.9,0.3,NA,0,0
2015-01-06 21:00,0,0,-3.6,0,4.4,340,54,2.5,0.2,NA,0,0
2015-01-06 22:00,0,0,-4,0,4.4,NA,48,2.2,0.2,NA,0,0
2015-01-06 23:00,0,0,-4,0,4.2,NA,48,2.2,0.1,NA,0,0
2015-01-07 0:00,0,0,-4.1,0,3.1,NA,50,2.3,0.1,NA,0,0
2015-01-07 1:00,0,0,-4.2,0,3,360,49,2.2,0,NA,0,0
2015-01-07 2:00,0,0,-4.3,0,1.7,360,50,2.2,0,NA,0,0
2015-01-07 3:00,0,0,-4.4,0,2.2,340,51,2.3,0,NA,0,0
2015-01-07 4:00,0,0,-4.4,0,2.4,340,46,2,0,NA,0,0
2015-01-07 5:00,0,0,-4.5,0,2.1,340,46,2,0,NA,0,0
2015-01-07 6:00,0,0,-5.5,0,0.4,0,56,2.3,-0.1,NA,0,0
2015-01-07 7:00,0,0,-4.2,0,3.7,340,46,2.1,-0.1,NA,0,0
2015-01-07 8:00,0,661,-4.1,0,3.5,340,45,2,-0.1,NA,0,0
2015-01-07 9:00,173.4202213,3600,-3.2,0,2.5,320,47,2.3,0.1,NA,67,33
2015-01-07 10:00,393.949781,3600,-2,0,4.8,320,44,2.3,0.1,NA,261,163
2015-01-07 11:00,565.5483597,3600,-1.6,0,6.2,320,41,2.2,0.3,NA,413,321
2015-01-07 12:00,676.5287441,3600,-0.9,0,4.6,320,43,2.5,0.6,NA,517,430
2015-01-07 13:00,719.332273,3600,-0.5,0,4,320,43,2.5,0.9,NA,580,479
2015-01-07 14:00,691.0436475,3600,-0.7,0,4.6,340,43,2.5,1.7,NA,586,487
2015-01-07 15:00,593.5894929,3600,-0.7,0,5,290,46,2.7,1.6,NA,539,427
2015-01-07 16:00,433.6071483,3600,-0.8,0,3.7,340,46,2.6,1,NA,348,269
2015-01-07 17:00,221.99262,3600,-1.5,0,2.2,340,50,2.8,0.1,NA,73,108
2015-01-07 18:00,0,1617,-2.3,0,1.5,340,54,2.8,0.2,NA,5,5
2015-01-07 19:00,0,0,-2.9,0,1,50,57,2.8,0.1,NA,0,0
2015-01-07 20:00,0,0,-3.5,0,1,50,62,2.9,0.1,NA,0,0
2015-01-07 21:00,0,0,-3.2,0,1.4,360,64,3.1,0,NA,0,0
2015-01-07 22:00,0,0,-4.2,0,0.5,20,62,2.8,0,NA,0,0
2015-01-07 23:00,0,0,-5.5,0,1.2,50,72,2.9,0,NA,0,0
2015-01-08 0:00,0,0,-4.7,0,1,360,69,3,-0.1,NA,0,0
2015-01-08 1:00,0,0,-6.5,0,0,0,74,2.8,-0.2,NA,0,0
2015-01-08 2:00,0,0,-7.9,0,0.1,0,82,2.8,-0.2,NA,0,0
2015-01-08 3:00,0,0,-8.2,0,0.6,290,83,2.8,-0.3,NA,0,0
2015-01-08 4:00,0,0,-8.7,0,0.1,0,85,2.7,-0.4,NA,0,0
2015-01-08 5:00,0,0,-8.9,0,0.4,0,88,2.8,-0.5,NA,0,0
2015-01-08 6:00,0,0,-9.4,0,0,0,88,2.6,-0.6,NA,0,0
2015-01-08 7:00,0,0,-9.5,0,0.2,0,89,2.7,-0.7,NA,0,0
2015-01-08 8:00,0,663,-9.4,0,0,0,89,2.7,-0.8,NA,0,0
2015-01-08 9:00,173.958731,3600,-6.9,0,0.2,0,87,3.2,-0.3,NA,62,42
2015-01-08 10:00,394.9855963,3600,-3,0,0.6,180,75,3.7,0,NA,186,136
2015-01-08 11:00,567.1339744,3600,-1.6,0,0.9,230,63,3.4,0.3,NA,398,308
2015-01-08 12:00,678.6790696,3600,0.1,0,2.8,320,52,3.2,0.8,NA,503,436
2015-01-08 13:00,722.0236698,3600,0.6,0,3.9,320,46,2.9,1,NA,543,479
2015-01-08 14:00,694.2155881,3600,1.2,0,3.6,290,48,3.2,1.1,NA,569,505
2015-01-08 15:00,597.1487403,3600,1.4,0,3.5,290,46,3.1,0.9,NA,571,439
2015-01-08 16:00,437.4341611,3600,1.1,0,4.1,290,56,3.7,0.5,NA,406,286
2015-01-08 17:00,225.9497441,3600,-0.2,0,2.6,270,70,4.2,-0.1,NA,76,125
2015-01-08 18:00,0,1564,-1.6,0,0.3,0,79,4.3,0.1,NA,2,7
2015-01-08 19:00,0,0,-2,0,1.4,200,84,4.4,0.1,NA,0,0
2015-01-08 20:00,0,0,-3.4,0,0.4,0,85,4.1,0,NA,0,0
2015-01-08 21:00,0,0,-3.7,0,0.2,0,91,4.2,0,NA,0,0
2015-01-08 22:00,0,0,-5.2,0,0.3,0,93,3.9,0,NA,0,0
2015-01-08 23:00,0,0,-5,0,0.8,70,93,3.9,0,NA,0,0
2015-01-09 0:00,0,0,-5.9,0,0.7,360,93,3.7,-0.1,NA,0,0
2015-01-09 1:00,0,0,-5.3,0,0.6,50,92,3.8,-0.1,NA,0,0
2015-01-09 2:00,0,0,-5.4,0,0.3,0,89,3.6,-0.2,NA,0,0
2015-01-09 3:00,0,0,-6.1,0,0.2,0,91,3.5,-0.2,NA,0,0
2015-01-09 4:00,0,0,-6.5,0,0.2,0,91,3.4,-0.3,NA,0,0
2015-01-09 5:00,0,0,-5.4,0,0.8,50,93,3.8,-0.2,NA,0,0
2015-01-09 6:00,0,0,-3.9,0,0.4,0,89,4.1,0,NA,0,0
2015-01-09 7:00,0,0,-3.8,0,0.2,0,92,4.2,0,NA,0,0
2015-01-09 8:00,0,668,-2.5,0,1.3,50,85,4.3,0,NA,0,0
2015-01-09 9:00,174.649592,3600,-2.2,0,0.8,270,88,4.6,0.1,NA,0,1
2015-01-09 10:00,396.175573,3600,-1.1,0,0.9,230,87,4.9,0.2,NA,37,29
2015-01-09 11:00,568.8722006,3600,0.9,0,2.1,230,82,5.4,0.3,NA,102,70
2015-01-09 12:00,680.9771947,3600,1.7,0,2.2,230,71,4.9,0.5,NA,189,121
2015-01-09 13:00,724.8551142,3600,1.4,0,1.7,180,81,5.5,0.5,NA,208,142
2015-01-09 14:00,697.5174099,3600,2.3,0,2.4,200,85,6.1,0.8,NA,254,166
2015-01-09 15:00,600.8259811,3600,2.2,0,2.6,200,87,6.2,0.5,NA,455,281
2015-01-09 16:00,441.3663709,3600,3,0,2.1,230,84,6.3,0.4,NA,332,204
2015-01-09 17:00,229.9992379,3600,1.8,0,1.3,200,87,6.1,0.1,NA,81,79
2015-01-09 18:00,0,1510,-0.2,0,0.7,200,92,5.6,0.2,NA,1,3
2015-01-09 19:00,0,0,-1.6,0,0,0,93,5.1,0.1,NA,0,0
2015-01-09 20:00,0,0,-2.1,0,0.2,0,93,4.9,0.1,NA,0,0
2015-01-09 21:00,0,0,-2.5,0,0.6,250,93,4.8,0.1,NA,0,0
2015-01-09 22:00,0,0,-2,0,0.5,250,93,4.9,0,NA,0,0
2015-01-09 23:00,0,0,-2.7,0,0.5,180,90,4.5,0,NA,0,0
2015-01-10 0:00,0,0,-4,0,0.1,0,89,4.1,-0.1,NA,0,0
2015-01-10 1:00,0,0,-3.3,0,0.4,0,90,4.3,-0.1,NA,0,0
2015-01-10 2:00,0,0,-4.3,0,0.4,0,87,3.9,-0.2,NA,0,0
2015-01-10 3:00,0,0,-5.4,0,0.3,0,84,3.5,-0.2,NA,0,0
2015-01-10 4:00,0,0,-4.9,0,0.6,70,81,3.5,-0.3,NA,0,0
2015-01-10 5:00,0,0,-6,0,0,0,88,3.5,-0.4,NA,0,0
2015-01-10 6:00,0,0,-7,0,0.3,0,90,3.3,-0.5,NA,0,0
2015-01-10 7:00,0,0,-7,0,0,0,91,3.3,-0.6,NA,0,0
2015-01-10 8:00,0,674,-6.6,0,0.2,0,92,3.5,-0.6,NA,0,0
2015-01-10 9:00,175.4930949,3600,-4.2,0,0.1,0,91,4.1,-0.2,NA,30,16
2015-01-10 10:00,397.5194515,3600,-1.7,0,0.3,0,77,4.2,0.1,NA,226,112
2015-01-10 11:00,570.7621981,3600,2.3,0,2,180,64,4.6,0.4,NA,497,305
2015-01-10 12:00,683.4217074,3600,4.3,0,2.6,230,63,5.2,0.9,NA,627,397
2015-01-10 13:00,727.8246713,3600,5.1,0,3.9,230,61,5.4,1.4,NA,719,467
2015-01-10 14:00,700.9467392,3600,6.3,0,3.8,230,60,5.7,1.8,NA,723,464
2015-01-10 15:00,604.6185163,3600,5.6,0,4.1,250,53,4.8,1.7,NA,651,407
2015-01-10 16:00,445.4008896,3600,5.4,0,4.1,230,59,5.3,1.3,NA,430,238
2015-01-10 17:00,234.1381726,3600,4.1,0,2.6,230,65,5.3,0.4,NA,63,61
2015-01-10 18:00,0,1454,1.5,0,0.9,200,73,5,0.1,NA,0,2
2015-01-10 19:00,0,0,-0.2,0,0.3,0,83,5,0.1,NA,0,0
2015-01-10 20:00,0,0,-1.3,0,0.4,0,86,4.8,0.1,NA,0,0
2015-01-10 21:00,0,0,-2,0,0,0,92,4.9,0.1,NA,0,0
2015-01-10 22:00,0,0,-1.9,0,1.2,200,93,5,0,NA,0,0
2015-01-10 23:00,0,0,1.5,0,2.6,180,86,5.9,0.2,NA,0,0
2015-01-11 0:00,0,0,2.2,0,3.2,180,82,5.9,0.2,NA,0,0
2015-01-11 1:00,0,0,2,0,2.6,180,82,5.8,0.2,NA,0,0
2015-01-11 2:00,0,0,2.3,0,2.2,180,84,6.1,0.1,NA,0,0
2015-01-11 3:00,0,0,2.1,0,1.9,180,86,6.1,0.1,NA,0,0
2015-01-11 4:00,0,0,2.3,0,1.2,160,90,6.5,0.2,NA,0,0
2015-01-11 5:00,0,0,4.1,0,2.4,290,88,7.2,0.2,NA,0,0
2015-01-11 6:00,0,0,3.9,0.05,4.5,290,75,6.1,0.1,NA,0,0
2015-01-11 7:00,0,0,2.9,0,4.2,320,81,6.1,0.2,NA,0,0
2015-01-11 8:00,0,682,1.3,0,4,320,70,4.7,0.2,NA,0,0
2015-01-11 9:00,176.4894199,3600,1.2,0,5.8,320,69,4.6,0.2,NA,57,30
2015-01-11 10:00,399.0168578,3600,1.3,0,5.8,320,58,3.9,0.2,NA,264,136
2015-01-11 11:00,572.803013,3600,1.7,0,5.7,320,54,3.7,0.4,NA,478,239
2015-01-11 12:00,686.0110884,3600,2.1,0,5.5,320,53,3.8,1.7,NA,658,400
2015-01-11 13:00,730.9303089,3600,1.9,0,6,320,56,3.9,2.8,NA,725,487
2015-01-11 14:00,704.5011186,3600,2.5,0,5,320,57,4.2,3,NA,741,508
2015-01-11 15:00,608.5235805,3600,1.9,0,5.7,320,56,3.9,2.3,NA,666,444
2015-01-11 16:00,449.5347807,3600,1.8,0,4.2,320,56,3.9,1.4,NA,442,265
2015-01-11 17:00,238.3635897,3600,1.2,0,4.4,320,55,3.7,0.4,NA,82,111
2015-01-11 18:00,0,1398,0,0,2.2,320,60,3.7,0.2,NA,2,5
2015-01-11 19:00,0,0,0.2,0,2.7,320,57,3.5,0.2,NA,0,0
2015-01-11 20:00,0,0,-0.4,0,2.3,320,57,3.4,0.1,NA,0,0
2015-01-11 21:00,0,0,-0.9,0,3.9,340,60,3.4,0.1,NA,0,0
2015-01-11 22:00,0,0,-1.3,0,3.3,340,55,3.1,0.1,NA,0,0
2015-01-11 23:00,0,0,-1.7,0,2.5,340,55,3,0.1,NA,0,0
2015-01-12 0:00,0,0,-1.6,0,3.5,340,54,2.9,0,NA,0,0
2015-01-12 1:00,0,0,-1.8,0,3,340,53,2.8,0,NA,0,0
2015-01-12 2:00,0,0,-2.8,0,1.2,50,56,2.8,0,NA,0,0
2015-01-12 3:00,0,0,-2.7,0,1.7,360,53,2.7,0,NA,0,0
2015-01-12 4:00,0,0,-3.1,0,2.7,360,52,2.5,-0.1,NA,0,0
2015-01-12 5:00,0,0,-4,0,1.7,50,54,2.5,-0.1,NA,0,0
2015-01-12 6:00,0,0,-4.8,0,1,20,53,2.3,-0.2,NA,0,0
2015-01-12 7:00,0,0,-5.6,0,1.1,360,60,2.4,-0.4,NA,0,0
2015-01-12 8:00,0,692,-7.1,0,0.7,50,70,2.5,-0.5,NA,0,0
2015-01-12 9:00,177.6386357,3600,-4.5,0,0.3,0,59,2.6,-0.1,NA,86,30
2015-01-12 10:00,400.6673034,3600,-2.7,0,1.7,360,48,2.4,0.1,NA,330,146
2015-01-12 11:00,574.9935789,3600,-1.5,0,1.4,70,38,2.1,0.4,NA,538,298
2015-01-12 12:00,688.7437123,3600,0.1,0,1.3,110,35,2.2,0.7,NA,648,404
2015-01-12 13:00,734.1698997,3600,1.1,0,1.7,250,35,2.3,1.1,NA,702,450
2015-01-12 14:00,708.1780106,3600,2.1,0,1.2,160,33,2.3,1.3,NA,702,454
2015-01-12 15:00,612.5383446,3600,2.4,0,1.6,320,29,2.1,1.6,NA,651,404
2015-01-12 16:00,453.765063,3600,1.8,0,2.5,340,42,2.9,1.1,NA,470,251
2015-01-12 17:00,242.6725047,3600,0.5,0,2.6,360,50,3.2,0.1,NA,103,100
2015-01-12 18:00,0,1340,-1.3,0,1.4,20,59,3.3,0.2,NA,5,5
2015-01-12 19:00,0,0,-2.5,0,1.4,20,65,3.3,0.1,NA,0,0
2015-01-12 20:00,0,0,-3.1,0,0.9,50,66,3.2,0,NA,0,0
2015-01-12 21:00,0,0,-3.3,0,1.2,50,67,3.2,0,NA,0,0
2015-01-12 22:00,0,0,-5.6,0,0.4,0,80,3.2,0,NA,0,0
2015-01-12 23:00,0,0,-6.2,0,0.4,0,82,3.2,-0.1,NA,0,0
2015-01-13 0:00,0,0,-6.8,0,0.7,50,85,3.1,-0.2,NA,0,0
2015-01-13 1:00,0,0,-6.8,0,0.5,20,85,3.1,-0.3,NA,0,0
2015-01-13 2:00,0,0,-7.1,0,0.3,0,88,3.2,-0.4,NA,0,0
2015-01-13 3:00,0,0,-7.4,0,0.9,70,88,3.1,-0.4,NA,0,0
2015-01-13 4:00,0,0,-7.9,0,0.8,20,86,2.9,-0.6,NA,0,0
2015-01-13 5:00,0,0,-7.9,0,0.5,20,86,2.9,-0.7,NA,0,0
2015-01-13 6:00,0,0,-6.2,0,0.3,0,77,3,-0.7,NA,0,0
2015-01-13 7:00,0,0,-7.5,0,0.4,0,85,3,-0.8,NA,0,0
2015-01-13 8:00,0,704,-7.6,0,0.9,70,84,2.9,-0.9,NA,0,0
2015-01-13 9:00,178.9406996,3600,-3.9,0,0.2,0,81,3.7,-0.3,NA,67,35
2015-01-13 10:00,402.4701858,3600,-0.1,0,0.9,50,58,3.5,0.1,NA,275,144
2015-01-13 11:00,577.3327178,3600,1.2,0,0.3,0,52,3.5,0.4,NA,322,202
2015-01-13 12:00,691.6178493,3600,3.4,0,0.7,180,39,3,0.8,NA,377,238
2015-01-13 13:00,737.5412238,3600,4.9,0,0.7,290,33,2.9,1.5,NA,588,364
2015-01-13 14:00,711.9747994,3600,5.8,0,1.5,270,36,3.3,1.4,NA,388,254
