瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),泅瘤扁拘 QC敲贰弊,秦搁扁拘(hPa),秦搁扁拘 QC敲贰弊,老炼(hr),老炼 QC敲贰弊,老荤(MJ/m2),利汲(cm),3矫埃脚利汲(cm),傈款樊(10盒困),吝窍摸款樊(10盒困),款屈(款屈距绢),弥历款绊(100m ),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C),瘤搁柯档 QC敲贰弊,5cm 瘤吝柯档(∑C),10cm 瘤吝柯档(∑C),20cm 瘤吝柯档(∑C),30cm 瘤吝柯档(∑C)
192,柳林,2021-01-01 11:00,.1,,,,1.6,,250,,58,,3.6,-7.2,1024.4,,1028.2,,1,,1.59,,,0,0,,,1956,,,-.3,,,,,
192,柳林,2021-01-01 12:00,1.9,,,,1.9,,160,,54,,3.8,-6.4,1023.1,,1026.8,,1,,1.89,,,1,0,,,2000,,,2.6,,,,,
192,柳林,2021-01-01 13:00,2.7,,,,1.9,,160,,55,,4.1,-5.4,1021.7,,1025.4,,.9,,1.8,,,4,0,,,1970,,,3.5,,,,,
192,柳林,2021-01-01 14:00,4.5,,,,2.6,,250,,49,,4.1,-5.3,1021.1,,1024.8,,.8,,1.6,,,8,7,,12,1946,,,4.4,,,,,
192,柳林,2021-01-01 15:00,4,,,,2.8,,250,,47,,3.8,-6.3,1020.8,,1024.5,,1,,1.54,,,8,8,,15,2000,,,4.1,,,,,
192,柳林,2021-01-01 16:00,4.1,,,,3.5,,250,,44,,3.6,-7,1020.8,,1024.5,,.4,,.69,,,7,7,,15,2000,,,1.6,,,,,
192,柳林,2021-01-01 17:00,3,,,,2.6,,230,,48,,3.6,-6.9,1020.7,,1024.4,,.7,,.44,,,8,3,,16,2000,,,.4,,,,,
192,柳林,2021-01-01 18:00,2.2,,,,2.9,,250,,49,,3.5,-7.4,1021,,1024.7,,0,,.02,,,0,0,,,2000,,,0,,,,,
192,柳林,2021-01-01 19:00,1.6,,,,2.6,,250,,54,,3.7,-6.7,1021.3,,1025,,,9,,,,0,0,,,2000,,,0,,,,,
192,柳林,2021-01-01 20:00,1.1,,,,1.3,,290,,59,,3.9,-6,1021.7,,1025.4,,,9,,,,0,0,,,2000,,,-.2,,,,,
192,柳林,2021-01-01 21:00,-2.5,,,,.8,,70,,72,,3.7,-6.8,1022,,1025.8,,,9,,,,0,0,,,2000,,,-.5,,,,,
192,柳林,2021-01-01 22:00,-3.1,,,,.6,,70,,75,,3.6,-6.9,1022.1,,1025.9,,,9,,,,1,0,,,1942,,,-.9,,,,,
192,柳林,2021-01-01 23:00,-4,,,,0,,0,,80,,3.6,-6.9,1021.9,,1025.7,,,9,,,,7,7,,19,1507,,,-1.3,,,,,
192,柳林,2021-01-02 00:00,-4.2,,,,.9,,70,,80,,3.6,-7.1,1021.7,,1025.5,,,9,,,,0,0,,,1904,,,-1.8,,,,,
192,柳林,2021-01-02 01:00,-4.1,,,,.8,,50,,80,,3.6,-7,1021.3,,1025.1,,,9,,,,8,8,,16,1987,,,-1.8,,,,,
192,柳林,2021-01-02 02:00,-3.8,,,,.2,,0,,81,,3.8,-6.5,1021.7,,1025.5,,,9,,,,8,8,,16,1977,,,-1.5,,,,,
192,柳林,2021-01-02 03:00,-3.3,,,,.5,,70,,79,,3.8,-6.4,1022.1,,1025.9,,,9,,,,8,8,,13,1998,,,-1.3,,,,,
192,柳林,2021-01-02 04:00,-3.3,,,,.9,,70,,82,,3.9,-5.9,1021.6,,1025.4,,,9,,,,6,6,,17,1991,,,-1.7,,,,,
192,柳林,2021-01-02 05:00,-3.3,,,,.1,,0,,80,,3.8,-6.2,1021.6,,1025.4,,,9,,,,8,8,,17,1993,,,-1.4,,,,,
192,柳林,2021-01-02 06:00,-3.3,,,,.6,,50,,81,,3.9,-6.1,1022.2,,1026,,,9,,,,0,0,,,1979,,,-1.9,,,,,
192,柳林,2021-01-02 07:00,-4.1,,,,.2,,0,,85,,3.8,-6.2,1022.8,,1026.6,,,9,,,,6,6,,12,1592,,,-2.5,,,,,
192,柳林,2021-01-02 08:00,-4,,,,.1,,0,,86,,3.9,-6,1023.5,,1027.3,,0,,.01,,,9,9,,13,1479,,,-2.5,,,,,
192,柳林,2021-01-02 09:00,-2.1,,,,.2,,0,,83,,4.3,-4.6,1024.1,,1027.9,,.8,,.4,,,5,5,,9,1303,,,-1.3,,,,,
192,柳林,2021-01-02 10:00,.4,,,,.4,,0,,72,,4.5,-4,1024.6,,1028.3,,1,,1,,,3,0,,,1369,,,-.5,,,,,
192,柳林,2021-01-02 11:00,2,,,,.7,,200,,65,,4.6,-3.9,1024.3,,1028,,1,,1.42,,,3,0,,,1648,,,-.2,,,,,
192,柳林,2021-01-02 12:00,3.2,,,,1.3,,250,,57,,4.4,-4.5,1023.5,,1027.2,,.9,,1.69,,,4,0,,,1987,,,3.4,,,,,
192,柳林,2021-01-02 13:00,4.5,,,,1.1,,250,,52,,4.4,-4.5,1022.8,,1026.5,,1,,2.05,,,4,2,,12,1819,,,7.1,,,,,
192,柳林,2021-01-02 14:00,5.4,,,,1.4,,320,,38,,3.4,-7.8,1022.2,,1025.9,,1,,1.84,,,4,1,,15,1990,,,7.3,,,,,
192,柳林,2021-01-02 15:00,4.8,,,,2.7,,360,,35,,3,-9.4,1022.3,,1026,,1,,1.44,,,1,0,,,1995,,,5.1,,,,,
192,柳林,2021-01-02 16:00,3.9,,,,2.7,,360,,32,,2.6,-11.3,1022.9,,1026.6,,1,,1.02,,,0,0,,,1993,,,2.2,,,,,
192,柳林,2021-01-02 17:00,2.5,,,,2.4,,340,,31,,2.3,-12.9,1024,,1027.7,,.7,,.39,,,0,0,,,2000,,,.6,,,,,
192,柳林,2021-01-02 18:00,1.5,,,,2.4,,360,,30,,2,-14.2,1024.8,,1028.5,,0,,.01,,,0,0,,,2000,,,.3,,,,,
192,柳林,2021-01-02 19:00,.4,,,,1.8,,20,,33,,2.1,-14,1025.7,,1029.5,,,9,,,,0,0,,,2000,,,.1,,,,,
192,柳林,2021-01-02 20:00,.1,,,,2.5,,360,,35,,2.2,-13.5,1026,,1029.8,,,9,,,,0,0,,,2000,,,-.3,,,,,
192,柳林,2021-01-02 21:00,-.7,,,,2,,50,,38,,2.2,-13.2,1025.8,,1029.6,,,9,,,,0,0,,,2000,,,-.7,,,,,
192,柳林,2021-01-02 22:00,-.9,,,,1.9,,50,,38,,2.2,-13.4,1026.1,,1029.9,,,9,,,,4,0,,,2000,,,-1.2,,,,,
192,柳林,2021-01-02 23:00,-1.2,,,,1.5,,70,,38,,2.1,-13.7,1026.4,,1030.2,,,9,,,,0,0,,,2000,,,-1.7,,,,,
192,柳林,2021-01-03 00:00,-3.1,,,,.7,,270,,49,,2.4,-12.3,1026.5,,1030.3,,,9,,,,3,0,,,2000,,,-2.3,,,,,
192,柳林,2021-01-03 01:00,-4.1,,,,.5,,200,,60,,2.7,-10.7,1027.4,,1031.2,,,9,,,,6,0,,,2000,,,-2.8,,,,,
192,柳林,2021-01-03 02:00,-4.7,,,,.5,,50,,65,,2.8,-10.2,1027.9,,1031.7,,,9,,,,8,4,,73,2000,,,-2.8,,,,,
192,柳林,2021-01-03 03:00,-4.6,,,,.2,,0,,64,,2.8,-10.3,1028,,1031.8,,,9,,,,10,9,,69,2000,,,-3,,,,,
192,柳林,2021-01-03 04:00,-4.7,,,,.4,,0,,62,,2.7,-10.8,1027.8,,1031.6,,,9,,,,10,9,,66,2000,,,-3,,,,,
192,柳林,2021-01-03 05:00,-4.2,,,,.2,,0,,59,,2.6,-11,1027.9,,1031.7,,,9,,,,10,9,,62,2000,,,-3,,,,,
192,柳林,2021-01-03 06:00,-2.1,,,,1.2,,20,,44,,2.3,-12.7,1029.3,,1033.1,,,9,,,,9,9,,61,2000,,,-2.6,,,,,
192,柳林,2021-01-03 07:00,-1.5,,,,1,,20,,36,,2,-14.6,1029.8,,1033.6,,,9,,,,9,9,,57,2000,,,-2.5,,,,,
192,柳林,2021-01-03 08:00,-1.8,,,,1.4,,20,,36,,1.9,-14.9,1029.5,,1033.3,,0,,0,,,9,6,,58,2000,,,-2.6,,,,,
192,柳林,2021-01-03 09:00,-1.3,,,,1.8,,20,,34,,1.9,-15.1,1029.8,,1033.6,,.4,,.25,,,2,0,,,2000,,,-2.3,,,,,
192,柳林,2021-01-03 10:00,.2,,,,1.3,,360,,35,,2.2,-13.4,1030,,1033.8,,1,,1.01,,,0,0,,,1967,,,-.5,,,,,
192,柳林,2021-01-03 11:00,1.4,,,,.7,,110,,34,,2.3,-12.7,1029.5,,1033.3,,1,,1.52,,,0,0,,,1916,,,-.3,,,,,
192,柳林,2021-01-03 12:00,2.5,,,,1.3,,270,,34,,2.5,-11.8,1028.8,,1032.5,,1,,1.83,,,2,0,,,1958,,,2.2,,,,,
192,柳林,2021-01-03 13:00,3.8,,,,1.1,,270,,32,,2.6,-11.4,1028.1,,1031.8,,1,,1.98,,,0,0,,,1950,,,5.4,,,,,
192,柳林,2021-01-03 14:00,4.9,,,,1.1,,270,,30,,2.6,-11.2,1027.2,,1030.9,,1,,1.87,,,3,0,,,1982,,,6.1,,,,,
192,柳林,2021-01-03 15:00,5.4,,,,3.4,,360,,24,,2.1,-13.6,1027.4,,1031.1,,1,,1.42,,,5,,,,2000,,,4.7,,,,,
192,柳林,2021-01-03 16:00,4.5,,,,2.6,,360,,28,,2.4,-12.4,1027.8,,1031.5,,.1,,.48,,,10,8,,57,2000,,,2.6,,,,,
192,柳林,2021-01-03 17:00,3.7,,,,1.3,,20,,29,,2.3,-12.7,1027.8,,1031.5,,0,,.14,,,10,6,,50,2000,,,1.2,,,,,
192,柳林,2021-01-03 18:00,3,,,,1.4,,50,,31,,2.3,-12.5,1028,,1031.7,,0,,.01,,,10,8,,46,2000,,,.2,,,,,
192,柳林,2021-01-03 19:00,2.2,,,,.4,,0,,33,,2.4,-12.4,1028.6,,1032.3,,,9,,,,9,9,,50,2000,,,.2,,,,,
192,柳林,2021-01-03 20:00,1.2,,,,1.1,,50,,36,,2.4,-12.2,1028.5,,1032.3,,,9,,,,8,3,,50,2000,,,.1,,,,,
192,柳林,2021-01-03 21:00,.6,,,,.6,,20,,38,,2.4,-12.1,1028.6,,1032.4,,,9,,,,8,0,,,2000,,,0,,,,,
192,柳林,2021-01-03 22:00,-1.8,,,,0,,0,,49,,2.6,-11.1,1028.9,,1032.7,,,9,,,,9,0,,,2000,,,-.3,,,,,
192,柳林,2021-01-03 23:00,-2.3,,,,0,,0,,53,,2.7,-10.6,1028.6,,1032.4,,,9,,,,9,0,,,1997,,,-.5,,,,,
192,柳林,2021-01-04 00:00,-3,,,,0,,0,,58,,2.8,-10.1,1029,,1032.8,,,9,,,,9,0,,,2000,,,-.7,,,,,
192,柳林,2021-01-04 01:00,-3.5,,,,0,,0,,60,,2.8,-10.1,1028.9,,1032.7,,,9,,,,9,7,,76,2000,,,-1,,,,,
192,柳林,2021-01-04 02:00,-4.4,,,,0,,0,,64,,2.8,-10.1,1028.9,,1032.7,,,9,,,,7,0,,,2000,,,-1.7,,,,,
192,柳林,2021-01-04 03:00,-5.4,,,,.1,,0,,70,,2.9,-10,1029,,1032.8,,,9,,,,0,0,,,1996,,,-2.6,,,,,
192,柳林,2021-01-04 04:00,-6.4,,,,0,,0,,75,,2.8,-10.1,1029.2,,1033.1,,,9,,,,0,0,,,1974,,,-3.3,,,,,
192,柳林,2021-01-04 05:00,-6.7,,,,.2,,0,,77,,2.9,-10,1029,,1032.9,,,9,,,,1,1,,50,1892,,,-3.8,,,,,
192,柳林,2021-01-04 06:00,-7.2,,,,.3,,0,,77,,2.8,-10.5,1029.2,,1033.1,,,9,,,,0,0,,,1950,,,-4.5,,,,,
192,柳林,2021-01-04 07:00,-7.5,,,,.4,,0,,79,,2.8,-10.5,1029.4,,1033.3,,,9,,,,0,0,,,1763,,,-4.7,,,,,
192,柳林,2021-01-04 08:00,-7.1,,,,.2,,0,,78,,2.8,-10.2,1029,,1032.9,,0,,.01,,,0,0,,,1485,,,-4.9,,,,,
192,柳林,2021-01-04 09:00,-4.7,,,,0,,0,,70,,3,-9.3,1029,,1032.8,,.8,,.36,,,0,0,,,1368,,,-3,,,,,
192,柳林,2021-01-04 10:00,-.9,,,,.2,,0,,57,,3.3,-8.3,1029.5,,1033.3,,1,,.97,,,0,0,,,1727,,,-.7,,,,,
192,柳林,2021-01-04 11:00,.9,,,,1.5,,70,,46,,3,-9.4,1029.1,,1032.9,,1,,1.48,,,0,0,,,1833,,,-.3,,,,,
192,柳林,2021-01-04 12:00,2.7,,,,1.6,,140,,41,,3,-9.2,1028.5,,1032.2,,1,,1.82,,,0,0,,,1775,,,2.1,,,,,
192,柳林,2021-01-04 13:00,4.8,,,,.7,,50,,36,,3.1,-9,1027.3,,1031,,1,,1.95,,,0,0,,,1973,,,6.1,,,,,
192,柳林,2021-01-04 14:00,6.1,,,,.9,,50,,34,,3.2,-8.6,1025.9,,1029.6,,1,,1.84,,,0,0,,,1878,,,6.8,,,,,
192,柳林,2021-01-04 15:00,7,,,,.9,,290,,34,,3.4,-7.8,1025.5,,1029.2,,1,,1.52,,,0,0,,,1844,,,6,,,,,
192,柳林,2021-01-04 16:00,6.7,,,,.2,,0,,31,,3,-9.2,1025,,1028.7,,1,,.97,,,1,0,,,1931,,,4,,,,,
192,柳林,2021-01-04 17:00,4.5,,,,.4,,0,,44,,3.7,-6.7,1024.7,,1028.4,,.7,,.35,,,0,0,,,1938,,,1.8,,,,,
192,柳林,2021-01-04 18:00,1.3,,,,0,,0,,53,,3.6,-7.2,1024.8,,1028.5,,0,,.02,,,0,0,,,1897,,,.4,,,,,
192,柳林,2021-01-04 19:00,-.5,,,,.1,,0,,59,,3.5,-7.5,1025.4,,1029.2,,,9,,,,0,0,,,1675,,,.2,,,,,
192,柳林,2021-01-04 20:00,-1.7,,,,.3,,0,,65,,3.5,-7.4,1025.7,,1029.5,,,9,,,,0,0,,,1441,,,0,,,,,
192,柳林,2021-01-04 21:00,-2.3,,,,.1,,0,,67,,3.5,-7.6,1026,,1029.8,,,9,,,,8,2,,61,1584,,,-.3,,,,,
192,柳林,2021-01-04 22:00,-2.6,,,,.3,,0,,68,,3.4,-7.7,1025.8,,1029.6,,,9,,,,9,3,,62,1394,,,-.5,,,,,
192,柳林,2021-01-04 23:00,-2.8,,,,.3,,0,,69,,3.4,-7.7,1025.2,,1029,,,9,,,,9,8,,60,1258,,,-.5,,,,,
192,柳林,2021-01-05 00:00,-3.2,,,,.2,,0,,72,,3.5,-7.5,1025.1,,1028.9,,,9,,,,8,5,,,1369,,,-.9,,,,,
192,柳林,2021-01-05 01:00,-3,,,,.2,,0,,72,,3.5,-7.3,1025.1,,1028.9,,,9,,,,9,9,,59,1515,,,-.9,,,,,
192,柳林,2021-01-05 02:00,-2.8,,,,.3,,0,,73,,3.6,-6.9,1024.9,,1028.7,,,9,,,,8,8,,17,1449,,,-1.2,,,,,
192,柳林,2021-01-05 03:00,-3.3,,,,.2,,0,,74,,3.6,-7.2,1024.4,,1028.2,,,9,,,,7,7,,19,1454,,,-1.3,,,,,
192,柳林,2021-01-05 04:00,-3.3,,,,.3,,0,,75,,3.6,-7.1,1023.5,,1027.3,,,9,,,,10,2,,19,1455,,,-1.4,,,,,
192,柳林,2021-01-05 05:00,-3.8,,,,.2,,0,,78,,3.6,-7,1022.9,,1026.7,,,9,,,,6,4,,18,1287,,,-2,,,,,
192,柳林,2021-01-05 06:00,-4.6,,,,.3,,0,,80,,3.5,-7.5,1022.8,,1026.6,,,9,,,,0,0,,,1124,,,-2.5,,,,,
192,柳林,2021-01-05 07:00,-5.1,,,,.2,,0,,83,,3.5,-7.5,1022.5,,1026.3,,,9,,,,0,0,,,972,,,-3.1,,,,,
192,柳林,2021-01-05 08:00,-4.8,,,,.3,,0,,84,,3.6,-7,1023.7,,1027.5,,0,,.01,,,0,0,,,801,,,-3.3,,,,,
192,柳林,2021-01-05 09:00,-2.6,,,,.2,,0,,78,,3.9,-5.9,1024.6,,1028.4,,.7,,.4,,,7,0,,,774,,,-1.4,,,,,
192,柳林,2021-01-05 10:00,1.5,,,,.3,,0,,71,,4.9,-3.1,1025,,1028.7,,1,,.98,,,7,0,,,973,,,-.5,,,,,
192,柳林,2021-01-05 11:00,5.2,,,,1,,320,,44,,3.9,-6,1024.9,,1028.6,,1,,1.3,,,5,0,,,1480,,,0,,,,,
192,柳林,2021-01-05 12:00,6.1,,,,2.3,,360,,31,,2.9,-9.8,1024.4,,1028.1,,.9,,1.6,,,4,0,,,1972,,,2.6,,,,,
192,柳林,2021-01-05 13:00,5.4,,,,3.4,,340,,28,,2.5,-11.6,1022.5,,1026.2,,0,,.87,,,9,8,,67,2000,,,2.2,,,,,
192,柳林,2021-01-05 14:00,4.8,,,,2.1,,360,,29,,2.5,-11.7,1021.4,,1025.1,,.1,,.8,,,10,9,,62,2000,,,2.9,,,,,
192,柳林,2021-01-05 15:00,4.1,,,,2.7,,360,,35,,2.9,-10,1021.7,,1025.4,,0,,.72,,,10,10,,64,2000,,,3.5,,,,,
192,柳林,2021-01-05 16:00,3.5,,,,2.6,,360,,34,,2.7,-10.9,1021.4,,1025.1,,0,,.4,,,10,10,,59,2000,,,2.2,,,,,
192,柳林,2021-01-05 17:00,2.7,,,,2.6,,340,,35,,2.6,-11.2,1021.6,,1025.3,,0,,.2,,,10,9,,58,2000,,,.9,,,,,
192,柳林,2021-01-05 18:00,1.7,,,,2.3,,340,,36,,2.5,-11.8,1022.4,,1026.1,,0,,.01,,,10,9,,59,2000,,,.2,,,,,
192,柳林,2021-01-05 19:00,.8,,,,1.5,,360,,33,,2.1,-13.6,1023.1,,1026.8,,,9,,,,10,9,,59,2000,,,.1,,,,,
192,柳林,2021-01-05 20:00,.2,,,,2.1,,20,,33,,2,-14.2,1023.1,,1026.8,,,9,,,,10,9,,61,2000,,,0,,,,,
192,柳林,2021-01-05 21:00,-.9,,,,1.3,,20,,36,,2.1,-14.1,1023.4,,1027.2,,,9,,,,8,5,,60,2000,,,-.2,,,,,
192,柳林,2021-01-05 22:00,-1.8,,,,1.8,,20,,38,,2,-14.2,1023.8,,1027.6,,,9,,,,6,6,,64,2000,,,-.5,,,,,
192,柳林,2021-01-05 23:00,-2.5,,,,1.4,,70,,42,,2.1,-13.6,1024.3,,1028.1,,,9,,,,4,2,,67,2000,,,-1.2,,,,,
192,柳林,2021-01-06 00:00,-3.5,,,,.6,,360,,45,,2.1,-13.7,1024,,1027.8,,,9,,,,1,0,,,2000,,,-1.9,,,,,
192,柳林,2021-01-06 01:00,-4,,,,.9,,360,,44,,2,-14.4,1023.7,,1027.5,,,9,,,,0,0,,,2000,,,-2.8,,,,,
192,柳林,2021-01-06 02:00,-4.9,,,,.9,,20,,47,,2,-14.5,1024.1,,1027.9,,,9,,,,2,0,,,2000,,,-3.6,,,,,
192,柳林,2021-01-06 03:00,-5,,,,.8,,360,,41,,1.7,-16.2,1023.8,,1027.6,,,9,,,,0,0,,,2000,,,-4.4,,,,,
192,柳林,2021-01-06 04:00,-5.5,,,,1.1,,20,,40,,1.6,-16.9,1023.2,,1027,,,9,,,,1,0,,,2000,,,-5,,,,,
192,柳林,2021-01-06 05:00,-7.1,,,,.5,,20,,48,,1.7,-16.2,1022.8,,1026.6,,,9,,,,1,0,,,2000,,,-5.5,,,,,
192,柳林,2021-01-06 06:00,-7.3,,,,.6,,50,,52,,1.8,-15.4,1023.2,,1027.1,,,9,,,,0,0,,,2000,,,-6,,,,,
192,柳林,2021-01-06 07:00,-6.2,,,,.5,,20,,49,,1.9,-15.1,1023.2,,1027,,,9,,,,0,0,,,2000,,,-6.1,,,,,
192,柳林,2021-01-06 08:00,-8,,,,.1,,0,,59,,2,-14.6,1023.3,,1027.2,,0,,0,,,0,0,,,2000,,,-6.4,,,,,
192,柳林,2021-01-06 09:00,-5.1,,,,.5,,200,,54,,2.3,-12.9,1023.3,,1027.1,,.8,,.42,,,0,0,,,1996,,,-4.1,,,,,
192,柳林,2021-01-06 10:00,-3.3,,,,.8,,90,,49,,2.3,-12.5,1023.6,,1027.4,,1,,.93,,,5,0,,,2000,,,-.9,,,,,
192,柳林,2021-01-06 11:00,-1.7,,,,1,,160,,42,,2.3,-12.9,1021.8,,1025.6,,1,,1.57,,,3,0,,,2000,,,-.4,,,,,
192,柳林,2021-01-06 12:00,.1,,,,1.6,,270,,39,,2.4,-12.2,1021.2,,1024.9,,1,,1.9,,,6,0,,,2000,,,1.7,,,,,
192,柳林,2021-01-06 13:00,.8,,,,1.5,,250,,38,,2.5,-11.9,1019.3,,1023,,1,,2,,,0,0,,,2000,,,5.1,,,,,
192,柳林,2021-01-06 14:00,1.3,,,,.9,,250,,36,,2.4,-12.1,1018,,1021.7,,1,,1.99,,,0,0,,,2000,,,6.3,,,,,
192,柳林,2021-01-06 15:00,2.1,,,,.8,,160,,35,,2.5,-11.8,1017.9,,1021.6,,1,,1.53,,,5,0,,,2000,,,3.2,,,,,
192,柳林,2021-01-06 16:00,1.5,,,,1.5,,140,,36,,2.5,-11.9,1017.5,,1021.2,,1,,.91,,,4,0,,,2000,,,.4,,,,,
192,柳林,2021-01-06 17:00,.8,,,,1,,200,,42,,2.7,-10.6,1017.9,,1021.6,,.8,,.37,,,2,0,,,2000,,,-.2,,,,,
192,柳林,2021-01-06 18:00,-.5,,,,1.6,,200,,46,,2.7,-10.7,1017.9,,1021.6,,0,,.01,,,3,0,,,2000,,,-.2,,,,,
192,柳林,2021-01-06 19:00,-1.6,,,,1.3,,160,,48,,2.6,-11.2,1017.6,,1021.3,,,9,,,,6,2,,22,2000,,,-.5,,,,,
192,柳林,2021-01-06 20:00,-.7,,,,2.9,,230,,47,,2.7,-10.6,1018.1,,1021.8,,,9,,,,7,1,,21,2000,,,-.7,,,,,
192,柳林,2021-01-06 21:00,-1.3,,,,1.7,,200,,50,,2.8,-10.4,1017.7,,1021.4,,,9,,,,8,4,,52,2000,,,-1.1,,,,,
192,柳林,2021-01-06 22:00,-1,,,,2.8,,230,,52,,3,-9.6,1016.6,,1020.3,,,9,,,,9,9,,53,2000,,,-1.3,,,,,
192,柳林,2021-01-06 23:00,-1.3,,,,1.9,,270,,57,,3.2,-8.7,1015.9,,1019.6,,,9,,,,9,9,,16,2000,,,-1.3,,,,,
192,柳林,2021-01-07 00:00,-1.5,,,,2.4,,250,,67,,3.7,-6.8,1015.2,,1018.9,,,9,,,,10,9,,,1677,,,-1.3,,,,,
192,柳林,2021-01-07 01:00,-1.8,,,,2.8,,230,,76,,4.1,-5.4,1014.9,,1018.6,,,9,,,,10,10,,20,1531,,,-1.3,,,,,
192,柳林,2021-01-07 02:00,-1.4,,,,2.8,,250,,74,,4.1,-5.4,1015.5,,1019.2,,,9,,,,10,10,,9,539,,,-1.2,,,,,
192,柳林,2021-01-07 03:00,-2,,,,3.7,,250,,60,,3.2,-8.7,1015.4,,1019.1,,,9,,,,0,0,,,1986,,,-1.6,,,,,
192,柳林,2021-01-07 04:00,-2.6,,,,3.7,,270,,50,,2.5,-11.6,1015.2,,1019,,,9,,,,10,4,,18,2000,,,-2.3,,,,,
192,柳林,2021-01-07 05:00,-4,,,,3.5,,340,,48,,2.2,-13.4,1016.1,,1019.9,,,9,,,,10,9,,12,2000,,,-2.5,,,,,
192,柳林,2021-01-07 06:00,-5,,,,2.1,,340,,51,,2.2,-13.5,1017.3,,1021.1,,,9,,,,10,9,,16,2000,,,-3.3,,,,,
192,柳林,2021-01-07 07:00,-5.2,,,,3.4,,320,,39,,1.6,-17,1018.1,,1021.9,,,9,,,,9,6,,15,2000,,,-4,,,,,
192,柳林,2021-01-07 08:00,-5.9,,,,3.6,,340,,47,,1.8,-15.4,1019.7,,1023.5,,0,,0,,,10,9,,17,2000,,,-3.8,,,,,
192,柳林,2021-01-07 09:00,-7.5,,,,3.7,,360,,49,,1.7,-16.3,1021.7,,1025.6,,.2,,.24,,,7,7,,15,2000,,,-3.5,,,,,
192,柳林,2021-01-07 10:00,-6.7,,,,3.2,,340,,39,,1.5,-18.3,1022.6,,1026.4,,1,,1.05,,,6,0,,,2000,,,-1.2,,,,,
192,柳林,2021-01-07 11:00,-6.1,,,,3.5,,320,,34,,1.3,-19.4,1022.1,,1025.9,,1,,1.68,,,4,0,,,2000,,,-.5,,,,,
192,柳林,2021-01-07 12:00,-5.3,,,,3.5,,340,,32,,1.3,-19.4,1021.2,,1025,,1,,2.04,,,1,0,,,2000,,,-.4,,,,,
192,柳林,2021-01-07 13:00,-4.6,,,,3.1,,340,,29,,1.3,-19.9,1020.4,,1024.2,,1,,2.2,,,2,0,,,1994,,,1.1,,,,,
192,柳林,2021-01-07 14:00,-5,,,,4.8,,340,,29,,1.2,-20.3,1020,,1023.8,,1,,2.01,,,2,0,,,1970,,,1.1,,,,,
