일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,조식메뉴,중식메뉴,석식메뉴,중식계,석식계
2016-02-18,목,2601,77,254,367,0.0,모닝롤/인절미토스트  우유/두유/주스  계란후라이  계란후라이  (쌀:국내산) 선지해장국 (쇠고기:호주산) 톳두부무침 포기김치 (김치:국내산) ,"낙지비빔밥 (낙지:중국산,쌀:국내산) 유부장국  고구마치즈구이  해초무침  요구르트  요구르트  포기김치 (김치:국내산) ",쌀밥/잡곡밥 (쌀:국내산) 순두부찌개  명태조림 (명태:러시아산) 감자채볶음  쌈만두  포기김치 (김치:국내산) ,910.0,489.0
2016-02-19,금,2601,145,252,69,0.0,모닝롤/씨크립샌드  우유/두유/주스  계란후라이  밤죽/쌀밥 (쌀:국내산) 홍합탕  오이생채 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 대구찌개  마늘간장치킨 (닭고기:국내산) 새송이버섯볶음  돌나물무침/치킨무  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 설렁탕 (쇠고기:호주산) 김치전 (김치:국내산) 야채스틱  바나나  석박지 (김치:국내산) ,763.0,597.0
2016-02-22,월,2601,90,207,434,0.0,모닝롤/팬케익  우유/주스  계란후라이  브로컬리죽/쌀밥 (쌀:국내산) 고추장찌개  시금치나물 포기김치 (고춧가루:국내산) ,쌀밥/오곡밥 (쌀:국내산) 쇠고기느타리국  갈치구이  호박꼬지&고사리&무나물  파래김*양념장  부럼/요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 옹심이만두국  떡갈비조림  청포묵무침  부추오이생채  포기김치 (김치:국내산) ,1298.0,645.0
2016-02-23,화,2601,57,237,488,0.0,모닝롤/야채샌드  우유/주스  계란후라이  닭죽/쌀밥 (쌀:국내산) 재첩국  참나물땅콩가루무침 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩나물국  돈육간장볶음  버섯잡채  꽃상추무침  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  해물까스&타르타르소스  볶음쌀국수  미역레몬초무침  통배추겉절이 (김치:국내산) ,899.0,610.0
2016-02-24,수,2601,54,232,14,0.0,모닝롤/꿀호떡  우유/주스  계란후라이  김치죽/쌀밥 (쌀:국내산) 무채국  애호박나물 포기김치 (김치:국내산) ,비빔밥 (쌀:국내산) 팽이장국  소세지피망볶음  맛탕  귤  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 열무된장국  매운돼지갈비찜  멸치호두볶음  숙주나물  포기김치 (김치:국내산) ,1022.0,514.0
2016-02-25,목,2601,56,261,335,0.0,모닝롤/크로와상  우유/주스  계란후라이  쇠고기죽/쌀밥 (쌀:국내산) 봄동된장국  어묵볶음 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 북어계란국  닭갈비  새싹두부구이  곰피초장  요구르트  포기김치 (김치:국내산) ,김밥 (쌀:국내산) 잔치국수  교자만두 (오븐에 찜) 멕시칸샐러드  무피클  포기김치 (김치:국내산) ,917.0,531.0
2016-02-26,금,2601,144,278,42,0.0,모닝롤/에그샌드  우유/주스  계란후라이  밤죽/쌀밥 (쌀:국내산) 꽃게탕  시래기조림 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 수제비국  오징어볶음  계란찜  도라지초무침  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 닭개장  삼치구이  꽃맛살볶음  청경채사과무침  포기김치 (김치:국내산) ,766.0,585.0
2016-02-29,월,2601,595,168,110,0.0,"모닝롤/프렌치토스트  우유/두유/주스 계란후라이  호두죽/쌀밥 (쌀:국내산) 콩나물김치국  곰피초장  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 얼갈이된장국  제육볶음  늙은호박전  치커리생채  요구르트  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 버섯들깨탕  꽁치한마리구이  두부양념조림  구이김  포기김치 (김치:국내산) ",869.0,344.0
2016-03-02,수,2624,127,182,261,0.0,"모닝롤/단팥빵  우유/두유/주스 계란후라이  참치야채죽/쌀밥 (쌀:국내산) 올갱이아욱국  오이무침  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 쇠고기미역국  주꾸미볶음  맛살계란말이  아삭고추무침  포기김치 (배추,고추가루:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 된장찌개  버섯불고기  콩나물겨자채  양념깻잎지  포기김치 (배추,고추가루:국내산) ",1127.0,631.0
2016-03-03,목,2624,61,224,351,0.0,"모닝롤/바나나샌드  우유/두유/주스 계란후라이  팥죽/쌀밥 (쌀:국내산) 피바지락국  가지볶음  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 근대된장국  탕수육  새송이버섯조림  무생채  요구르트  포기김치 (배추,고추가루:국내산) ","멸치주먹밥 (쌀,현미흑미:국내산) 우동  떡볶이  군고구마  단무지  포기김치 (배추,고추가루:국내산) ",1000.0,473.0
2016-03-04,금,2624,83,247,79,0.0,"모닝롤/사과파이  우유/두유/주스 계란후라이  야채죽/쌀밥 (쌀:국내산) 시금치국  볼어묵볶음  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 부대찌개  가자미튀김  메추리알조림  열무된장나물  깍두기 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 오징어국  미트볼조림  옥수수전  부추생채  포기김치 (배추,고추가루:국내산) ",837.0,673.0
2016-03-07,월,2624,50,195,456,0.0,모닝롤/브라우니  우유/두유/주스  계란후라이  땅콩죽/쌀밥 (쌀:국내산) 무채국  쑥갓무침 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 콩나물국  닭갈비 (닭고기:국내산) 모둠묵*양념장  톳두부무침  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 대구찌개 돈육굴소스볶음  감자채볶음  물파래무침   포기김치 (김치:국내산) ",1326.0,625.0
2016-03-08,화,2624,47,212,426,0.0,모닝롤/고구마샌드  우유/두유/주스  계란후라이  새송이죽/쌀밥 (쌀:국내산) 호박젓국찌개  유채나물 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 차돌박이찌개 (쇠고기:호주산) 고등어김치말이  소세지구이  풋마늘초무침  깍두기 (김치:국내산)   ","카레덮밥 (쌀,현미흑미:국내산) 가쯔오장국 수제고로케*케찹  과일샐러드  오복지   포기김치 (김치:국내산) ",1026.0,609.0
2016-03-09,수,2624,43,225,0,0.0,모닝롤/롤케익  우유/두유/주스  계란후라이  단호박죽/쌀밥 (쌀:국내산) 어묵국  김자반 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 북어국  돈육장조림 (돼지고기:국내산) 홍어무침  시금치나물  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 육개장 생선까스*탈탈소스  야채계란찜  콩나물무침   포기김치 (김치:국내산) ",901.0,523.0
2016-03-10,목,2624,55,245,290,0.0,모닝롤/햄치즈샌드  우유/두유/주스  계란후라이  녹두죽/쌀밥 (쌀:국내산) 냉이된장국  명엽채무침 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 고추장찌개  닭데리야끼조림  해물파전  취나물  포기김치 (김치:국내산)   ","볶음밥 (쌀,현미흑미:국내산) 짬뽕 개성감자만두  타코야끼  꼬들단무지   포기김치 (김치:국내산) ",847.0,525.0
2016-03-11,금,2624,108,275,76,0.0,모닝롤/찐빵  우유/두유/주스  계란후라이  고구마죽/쌀밥 (쌀:국내산) 재첩국  검정콩조림 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 배추된장국  수제돈가스 (돼지고기:국내산) 탕평채  쫄면무침  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 연두부탕 코다리무조림  고추잡채*꽃빵  봄동겉절이   포기김치 (김치:국내산) ",728.0,591.0
2016-03-14,월,2624,61,183,376,0.0,모닝롤/롤케이크  우유/주스  계란후라이  흑임자죽/쌀밥 (쌀:국내산) 황태국  미역줄기볶음 포기김치 (고춧가루:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 어묵국  돈육고추장볶음 (돼지고기:국내산) 모둠양채쌈*쌈장  콩나물파채무침   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 달래된장찌개  간장찜닭 (닭고기:국내산) 통도라지구이 참나물생채   포기김치 (김치:국내산) ,1286.0,586.0
2016-03-15,화,2624,38,231,399,0.0,모닝롤/에그샌드  우유/주스  계란후라이  해물죽/쌀밥 (쌀:국내산) 쇠고기무국  브로컬리들깨찜 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 쑥국  소불고기 (쇠고기:호주산) 골뱅이무침*소면  마늘쫑볶음   포기김치 (김치:국내산)  ,"짜장잡채덮밥 (돈육,쌀:국내산) 계란파국  참치야채전  꽃맛살샐러드 오이무침   포기김치 (김치:국내산) ",958.0,545.0
2016-03-16,수,2624,50,213,0,0.0,모닝롤/치즈프레즐  우유/주스  계란후라이  홍게살죽/쌀밥 (쌀:국내산) 시래기국  느타리호박볶음 포기김치 (김치:국내산) ,곤드레밥 (쌀:국내산) 콩나물김치국  미니채소떡갈비 (쇠고기:호주산.돈육:국내산) 두부계란부침  무나물   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 뼈해장국 (돼지고기:국내산) 해물청경채볶음  버섯메밀전 야채스틱*쌈장   포기김치 (김치:국내산) ,998.0,531.0
2016-03-17,목,2624,52,242,327,0.0,모닝롤/베이컨샌드  우유/주스  계란후라이  브로컬리죽/쌀밥 (쌀:국내산) 오징어국  숙주나물 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 사골우거지국 (쇠고기:호주산) 탕수어  파래김*양념장  깻순나물   깍두기 (김치:국내산)  ,토마토스파게티 (쌀:국내산) 양송이스프  미니햄버거 (돼지고기:국내산) 단호박범벅 무피클/음료   포기김치 (김치:국내산) ,832.0,548.0
2016-03-18,금,2624,118,277,57,0.0,모닝롤/크로와상  우유/주스  계란후라이  표고버섯죽/쌀밥 (쌀:국내산) 들깨미역국  방풍나물 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 시금치국  훈제오리구이  연근땅콩조림  쌈무/부추생채   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 닭곰탕 (닭고기:국내산) 임연수찜  어묵곤약볶음 돌나물초장   석박지 (김치:국내산) ,757.0,521.0
2016-03-21,월,2624,65,205,329,0.0,모닝롤/마늘빵  우유/주스  계란후라이  김치죽/쌀밥 (쌀:국내산) 무채국  김실파무침 포기김치 (고춧가루:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  버섯불고기 (쇠고기:호주산) 계란말이  도토리묵무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 수제비국  아귀콩나물찜  새송이버섯볶음  봄동겉절이  포기김치 (김치:국내산) ,1030.0,605.0
2016-03-22,화,2624,41,208,378,0.0,모닝롤/씨크립샌드  우유/주스  계란후라이  참치야채죽/쌀밥 (쌀:국내산) 선지해장국 (쇠고기:호주산) 브로컬리초장 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 쇠고기샤브국 (쇠고기:호주산) 코다리강정  두부&김치볶음  유채나물  깍두기 (김치:국내산)  ,굴소스파인볶음밥 (쌀:국내산) 가쯔오장국  찹쌀순대볶음  궁중떡찜  두반장가지나물  포기김치 (김치:국내산) ,917.0,585.0
2016-03-23,수,2624,42,236,0,0.0,모닝롤/카스텔라  우유/주스  계란후라이  새송이버섯죽/쌀밥 (쌀:국내산) 근대국  쑥갓두부무침 포기김치 (김치:국내산) , 콩나물밥*달래장 (쌀:국내산) 맑은국  치킨텐더*요거트D (닭고기:국내산) 땅콩조림  실곤약초무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 알탕  동그랑땡전  마파두부 (돼지고기:국내산) 시금치나물  포기김치 (김치:국내산) ,963.0,544.0
2016-03-24,목,2624,53,251,293,0.0,모닝롤/토마토샌드  우유/주스  계란후라이  밤죽/쌀밥 (쌀:국내산) 순두부국  크랜베리멸치볶음 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 북어계란국  쇠고기장조림 (쇠고기:호주산) 오징어초무침  시래기나물  포기김치 (김치:국내산)  ,참치회덮밥 (쌀:국내산) 미소장국  군만두  콘샐러드  바나나  포기김치 (김치:국내산) ,876.0,507.0
2016-03-25,금,2624,98,275,59,0.0,모닝롤/와플  우유/주스  계란후라이  견과류죽/쌀밥 (쌀:국내산) 콩나물국  진미채무침 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 닭개장 (닭고기:국내산) 자반고등어구이 (고등어:국내산) 비엔나볶음  열무나물  배추겉절이 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 냉이된장찌개  누룽지탕수육 (돼지고기:국내산) 감자채볶음  청경채무침  포기김치 (김치:국내산) ,861.0,523.0
2016-03-28,월,2624,77,197,299,0.0,모닝롤/프렌치토스트  우유/주스  계란후라이  새우살죽/쌀밥 (쌀:국내산) 두부김치국  미역레몬초무침 포기김치 (고춧가루:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 얼갈이된장국  닭갈비  해파리냉채  취나물  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  유산슬  해물까스*탈탈소스  도라지나물  포기김치 (김치:국내산) ,1193.0,637.0
2016-03-29,화,2624,52,245,259,0.0,모닝롤/참치샌드  우유/주스  계란후라이  야채죽/쌀밥 (쌀:국내산) 쇠고기버섯국  오이무침 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 옹심이만두국  주꾸미볶음  새송이버섯전  치커리유자청생채  포기김치 (김치:국내산)  ,햄볶음밥 (쌀:국내산) 유부장국  돈육씨앗강정  해초무침  깨찰빵  포기김치 (김치:국내산) ,892.0,465.0
2016-03-30,수,2624,48,230,0,0.0,모닝롤/핫도그  우유/주스  계란후라이  닭죽/쌀밥 (쌀:국내산) 감자국  참나물무침 포기김치 (김치:국내산) , 봄새싹비빔밥 (쌀:국내산) 쪽파국  오징어튀김  알감자버터구이  오렌지  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 어묵국  등갈비김치찜  청포묵무침  애호박나물  깍두기 (김치:국내산) ,1033.0,463.0
2016-03-31,목,2624,36,248,158,0.0,모닝롤/단팥빵  우유/주스  계란후라이  늙은호박죽/쌀밥 (쌀:국내산) 바지락쑥국  마늘쫑무침 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 매운콩나물국  돈육굴소스볶음  동태전  봄동나물  포기김치 (김치:국내산)  ,주먹밥 (쌀:국내산) 잔치국수  또띠아피자  과일샐러드  오이피클  포기김치 (김치:국내산) ,781.0,526.0
2016-04-01,금,2643,103,254,47,0.0,모닝롤/야채샌드  우유/주스  계란후라이  녹두죽/쌀밥 (쌀:국내산) 민물새우찌개  구이김 포기김치 (김치:국내산) , 쌀밥/잡곡밥 (쌀:국내산) 버섯들깨탕  갈치조림  우엉잡채  아삭고추무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 쇠고기미역국  순살깐풍기  계란찜  숙주미나리나물  포기김치 (김치:국내산) ,661.0,591.0
2016-04-04,월,2643,62,221,367,0.0,"모닝롤/팬케익  우유/두유/주스 계란후라이  잣죽/쌀밥 (쌀:국내산) 근대국  마늘쫑무침  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 순두부찌개  쇠불고기  브로컬리맛살볶음  풋마늘초무침  포기김치 (배추,고추가루:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 된장찌개  고등어조림  고기전  부추생채  포기김치 (김치:국내산) ",1237.0,614.0
2016-04-05,화,2643,31,242,370,0.0,"모닝롤/단호박샌드  우유/두유/주스 계란후라이  양송이죽/쌀밥 (쌀:국내산) 두부젓국찌개  미역줄기볶음  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 북어국  오징어볶음*소면  모둠소시지구이  시금치나물  포기김치 (배추,고추가루:국내산)   ","김치볶음밥 (쌀,현미흑미:국내산) 가쯔오장국  감자치즈구이  꽃맛살샐러드  단무지  깍두기 (배추,고추가루:국내산) ",840.0,555.0
2016-04-06,수,2643,37,249,0,0.0,"모닝롤/치즈프레즐  우유/두유/주스 계란후라이  팥죽/쌀밥 (쌀:국내산) 꽃게탕  방풍나물  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 올갱이아욱국  제육볶음  두부조림  모둠쌈*쌈장  포기김치 (배추,고추가루:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 매운버섯국  찜닭  탕평채  청경채생채  포기김치 (배추,고추가루:국내산) ",876.0,492.0
2016-04-07,목,2643,47,258,339,0.0,"모닝롤/치킨샌드  우유/두유/주스 계란후라이  흑임자죽/쌀밥 (쌀:국내산) 열무된장국  진미채무침  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 어묵국  매운돼지갈비찜  해물파전  무생채  포기김치 (배추,고추가루:국내산)   ","김밥 (쌀,현미흑미:국내산) 우동  야채튀김  조각사과  오복지  포기김치 (배추,고추가루:국내산) ",853.0,524.0
2016-04-08,금,2643,87,283,64,0.0,"모닝롤/브라우니  우유/두유/주스 계란후라이  고구마죽/쌀밥 (쌀:국내산) 대구찌개  콩조림  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 배추된장국  순살양념치킨  메추리알조림  콩나물무침  포기김치 (배추,고추가루:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 오징어국  미니함박  멸치호두볶음  치커리사과무침  포기김치 (배추,고추가루:국내산) ",764.0,542.0
2016-04-11,월,2643,82,203,392,0.0,"모닝롤/마늘빵  우유/두유/주스 계란후라이  견과류죽/쌀밥 (쌀:국내산) 고추장찌개  김자반  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 시래기국  훈제오리구이 (훈제오리:국내산) 무쌈/양파절임  풋마늘초무침  포기김치 (배추,고추가루:국내산)   ",쌀밥/잡곡밥 (쌀:국내산) 쇠고기무국 (쇠고기:호주산) 가자미찜  계란야채말이  돌나물오이무침  포기김치 (김치:국내산) ,1225.0,536.0
2016-04-12,화,2643,76,225,239,0.0,"모닝롤/씨크립샌드  우유/두유/주스 계란후라이  쇠고기죽/쌀밥 (쇠고기:호주산,쌀:국내산) 얼갈이된장국  감자채볶음  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 부대찌개  쇠고기단호박조림 (쇠고기:호주산) 열무나물  시금치나물  포기김치 (배추,고추가루:국내산)   ","치킨마요덮밥 (닭,쌀:국내산) 유부주머니국  떡볶이  단무지무침  오렌지  포기김치 (김치:국내산) ",771.0,500.0
2016-04-14,목,2643,106,252,326,0.0,"모닝롤/에그샌드  우유/두유/주스 계란후라이  브로컬리죽/쌀밥 (쌀:국내산) 황태국  콩나물무침  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산)  수제비국  돈육굴소스볶음 (돼지고기:국내산) 양배추쌈  무생채  포기김치 (배추,고추가루:국내산)   ",비빔밥 (쌀:국내산) 팽이버섯장국  새우또띠아  견과류조림  피크닉  포기김치 (김치:국내산) ,969.0,562.0
2016-04-15,금,2643,131,281,82,0.0,"모닝롤/크로와상  우유/두유/주스 계란후라이  새우살죽/쌀밥 (쌀:국내산) 재첩국  시금치나물  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 냉이된장찌개  닭데리야끼조림 (닭고기:국내산) 도라지초무침  콩나물무침  포기김치 (배추,고추가루:국내산)   ",쌀밥/잡곡밥 (쌀:국내산) 들깨미역국  수제돈가스  감자범벅  참나물생채  포기김치/무피클 (김치:국내산) ,579.0,582.0
2016-04-18,월,2643,81,225,330,0.0,모닝롤/꿀호떡  우유/주스  계란후라이  흑임자죽/쌀밥 (쌀:국내산) 감자국 오이무침  포기김치 (고춧가루:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 배추된장국  돈육강정  콩나물잡채  브로컬리두부무침  포기김치 (김치:국내산)   ,쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  유산슬  야채계란찜  두반장가지나물  포기김치 (김치:국내산) ,1120.0,525.0
2016-04-19,화,2643,44,239,387,0.0,모닝롤/토마토샌드  우유/주스  계란후라이  표고버섯죽/쌀밥 (쌀:국내산) 콩나물국 곤약어묵볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 육개장  꽁치한마리구이  고기전  해초무침  포기김치 (김치:국내산)   ,낙지비빔밥  유부장국  새싹피자  과일샐러드  꼬들단무지  포기김치 (김치:국내산) ,980.0,449.0
2016-04-20,수,2643,47,262,0,0.0,모닝롤/베이글  우유/주스  계란후라이  홍게살죽/쌀밥  김치국 느타리볶음  포기김치 (김치:국내산) ,콩나물밥  근대된장국  매콤떡갈비조림  청포묵무침  부추생채  포기김치 (김치:국내산)   ,쌀밥/잡곡밥  어묵국  닭볶음탕  새송이버섯전  시금치나물  포기김치 (김치:국내산) ,849.0,504.0
